rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,stimulus,key_press,trial_stimulus,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,block_number,block_type,block_exposure_length,stimulus_displayed,question_order,question_stimuli,block_index
83.20000004768372,NA,stimuli-presentation,48,144773,0.0-25.0-1.2,SS1646459699292,NA,NA,trial,NA,40,NA,500,583.2000000476837,images/stimuli/simple_08_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,10000,2,simple,10000,images/stimuli/simple_08_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,49,145655,0.0-25.0-0.3,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619.8999998569489,NA,stimuli-presentation,50,146782,0.0-25.0-1.3,SS1646459699292,NA,NA,trial,NA,40,NA,500,1119.8999998569489,images/stimuli/simple_08_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,10000,2,simple,10000,images/stimuli/simple_05_A_a.gif,NA,NA,NA
null,NA,html-keyboard-response,51,147892,0.0-25.0-0.4,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411.2000000476837,NA,stimuli-presentation,52,148805,0.0-25.0-1.4,SS1646459699292,NA,NA,trial,NA,40,NA,500,911.2000000476837,images/stimuli/simple_08_A_a.gif,images/stimuli/simple_05_A_a.gif,self-paced,10000,2,simple,10000,images/stimuli/simple_05_A_a.gif,NA,NA,NA
2480,"{""Q0"":""Yes""}",survey-multi-choice,53,151293,0.0-26.0,SS1646459699292,NA,NA,memory_test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_05_A_a.gif,2
null,NA,html-keyboard-response,54,152296,0.0-27.0,SS1646459699292,NA,NA,NA,Watch carefully!,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,stimuli-presentation,55,152804,0.0-28.0,SS1646459699292,NA,NA,NA,NA,null,NA,500,500,null,null,forced,500,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,56,153806,0.0-29.0,SS1646459699292,NA,NA,NA,Now you can keep studying the creature.,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,57,154960,0.0-30.0-0.0,SS1646459699292,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
