"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"","html-keyboard-response","75","631544","0.0-23.0","SS1619978421239","13044.039999993402","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","76","636159","0.0-24.0","SS1619978421239","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","77","638107","0.0-25.0-0.0","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","78","644123","0.0-25.0-1.0","SS1619978421239","null","","","null","","trial","","1000","1000","1","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","79","645779","0.0-25.0-0.1","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","80","651785","0.0-25.0-1.1","SS1619978421239","null","","","null","","trial","","1000","1000","1","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","81","653122","0.0-25.0-0.2","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","82","659129","0.0-25.0-1.2","SS1619978421239","null","","","null","","trial","","1000","1000","1","4","Dev","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","83","660658","0.0-25.0-0.3","SS1619978421239","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","84","674250","0.0-25.0-1.3","SS1619978421239","35125.46999999904","","","40","","trial","","1000","36125.46999999904","1","4","Dev","stimuli/images/spore_stims/simple_09_A.gif","left"
"","html-keyboard-response","85","677939","0.0-26.0","SS1619978421239","3687.335000009625","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","86","682538","0.0-27.0","SS1619978421239","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","87","683535","0.0-28.0-0.0","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","88","689541","0.0-28.0-1.0","SS1619978421239","null","","","null","","trial","","1000","1000","1","5","Std","stimuli/images/spore_stims/simple_06_A.gif","left"
"","html-keyboard-response","89","691450","0.0-28.0-0.1","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","90","697456","0.0-28.0-1.1","SS1619978421239","null","","","null","","trial","","1000","1000","1","5","Std","stimuli/images/spore_stims/simple_06_A.gif","left"
"","html-keyboard-response","91","699602","0.0-28.0-0.2","SS1619978421239","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","92","705608","0.0-28.0-1.2","SS1619978421239","null","","","null","","trial","","1000","1000","1","5","Std","stimuli/images/spore_stims/simple_06_A.gif","left"
"","html-keyboard-response","93","707562","0.0-28.0-0.3","SS1619978421239","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","94","719977","0.0-28.0-1.3","SS1619978421239","35438.38999999571","","","40","","trial","","1000","36438.38999999571","1","5","Std","stimuli/images/spore_stims/simple_06_A.gif","left"
"","html-keyboard-response","95","1022004","0.0-29.0","SS1619978421239","302004.8999999999","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300;""> That's it! Thank you so much for your participation! </span></p>","40","","","","","","","","","",""
