prolific_id,rating_type,curiosity_rating,block_number,rating_stimus_type,animacy,number,pose
65263de10f1e7475f5b1fc21,background,0,14,inanimate_single_left,inanimate,single,left
605da94ba47f45380a1c7d57,background,0,14,inanimate_pair_right,inanimate,pair,right
6595be0e8ac3f1327fec5bf8,deviant,1,9,animate_single_right,inanimate,single,right
65263de10f1e7475f5b1fc21,background,1,15,inanimate_pair_left,inanimate,pair,left
605da94ba47f45380a1c7d57,background,1,15,inanimate_pair_right,inanimate,pair,right
65263de10f1e7475f5b1fc21,background,2,16,animate_pair_left,animate,pair,left
6595be0e8ac3f1327fec5bf8,background,0,10,inanimate_single_left,inanimate,single,left
605da94ba47f45380a1c7d57,background,1,16,inanimate_single_right,inanimate,single,right
6595be0e8ac3f1327fec5bf8,background,1,11,inanimate_pair_right,inanimate,pair,right
6595be0e8ac3f1327fec5bf8,background,0,12,inanimate_single_left,inanimate,single,left
6595be0e8ac3f1327fec5bf8,background,2,13,animate_pair_right,animate,pair,right
6595be0e8ac3f1327fec5bf8,background,1,14,animate_pair_right,animate,pair,right
6595be0e8ac3f1327fec5bf8,background,2,15,animate_single_left,animate,single,left
6595be0e8ac3f1327fec5bf8,background,2,16,animate_single_left,animate,single,left
5ec6f596d4642d12c2d64ff9,deviant,1,1,inanimate_pair_left,inanimate,pair,left
5ec6f596d4642d12c2d64ff9,background,3,2,inanimate_single_left,inanimate,single,left
5ec6f596d4642d12c2d64ff9,background,1,3,inanimate_pair_left,inanimate,pair,left
5a7659fd8fe2dc00010573be,deviant,2,1,animate_pair_left,animate,pair,right
5ec6f596d4642d12c2d64ff9,deviant,3,4,animate_single_right,animate,pair,right
5e860198a846e30497df5189,background,1,1,animate_single_left,animate,single,left
5ec6f596d4642d12c2d64ff9,background,3,5,animate_single_right,animate,single,right
5a7659fd8fe2dc00010573be,background,1,2,inanimate_single_right,inanimate,single,right
5ec6f596d4642d12c2d64ff9,background,1,6,inanimate_single_right,inanimate,single,right
5e860198a846e30497df5189,background,0,2,inanimate_pair_left,inanimate,pair,left
5ec6f596d4642d12c2d64ff9,background,2,7,inanimate_single_right,inanimate,single,right
5a7659fd8fe2dc00010573be,background,1,3,inanimate_pair_right,inanimate,pair,right
5f9b15774711462e44350360,background,2,1,inanimate_single_right,inanimate,single,right
5f5a1dbec9012406a20ea2d7,background,2,1,inanimate_pair_left,inanimate,pair,left
5e860198a846e30497df5189,background,0,3,inanimate_pair_right,inanimate,pair,right
5ec6f596d4642d12c2d64ff9,background,3,8,animate_single_left,animate,single,left
60fd290db87d1ce113c2fb2e,background,0,1,inanimate_pair_right,inanimate,pair,right
5f9b15774711462e44350360,background,3,2,animate_pair_left,animate,pair,left
5a7659fd8fe2dc00010573be,deviant,2,4,animate_single_left,animate,pair,left
616b567b3e605b7245a9aead,background,3,1,animate_single_right,animate,single,right
5ec6f596d4642d12c2d64ff9,background,3,9,animate_pair_left,animate,pair,left
