success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,stimulus_displayed,question_order
NA,instructions,3,104469,0.0-18.0-1.0,SS1651686913194,52695.09999996424,NA,"[{""page_index"":0,""viewing_time"":43743.69999998808},{""page_index"":1,""viewing_time"":8950.899999976158}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stimuli-presentation,4,107689,0.0-18.0-2.0,SS1651686913194,2712.900000035763,NA,NA,NA,NA,40,500,3212.900000035763,null,null,self_paced,0,NA,NA,NA
NA,stimuli-presentation,5,127264,0.0-18.0-3.0,SS1651686913194,19067,NA,NA,NA,NA,40,500,19567,null,null,self_paced,0,NA,NA,NA
NA,instructions,6,132451,0.0-18.0-4.0,SS1651686913194,5184.599999964237,NA,"[{""page_index"":0,""viewing_time"":5184.199999988079}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,instructions,7,136055,0.0-18.0-5.0,SS1651686913194,3598.899999976158,NA,"[{""page_index"":0,""viewing_time"":124.69999998807907},{""page_index"":1,""viewing_time"":1778.800000011921},{""page_index"":2,""viewing_time"":824.8000000119209},{""page_index"":3,""viewing_time"":870.1999999880791}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,html-keyboard-response,8,137199,0.0-18.0-6.0-0.0,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,9,155313,0.0-18.0-6.0-1.0,SS1651686913194,17606.900000035763,NA,NA,trial,NA,40,500,18106.900000035763,null,null,self_paced,0,NA,images/stimuli/complex_09_A_a.gif,NA
NA,html-keyboard-response,10,156215,0.0-18.0-6.0-0.1,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,11,164209,0.0-18.0-6.0-1.1,SS1651686913194,7488.300000011921,NA,NA,trial,NA,40,500,7988.300000011921,null,null,self_paced,0,NA,images/stimuli/simple_12_A_a.gif,NA
NA,html-keyboard-response,12,165364,0.0-18.0-6.0-0.2,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,13,170354,0.0-18.0-6.0-1.2,SS1651686913194,4484.199999988079,NA,NA,trial,NA,40,500,4984.199999988079,null,null,self_paced,0,NA,images/stimuli/simple_04_A_a.gif,NA
NA,html-keyboard-response,14,171364,0.0-18.0-6.0-0.3,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,15,175178,0.0-18.0-6.0-1.3,SS1651686913194,3307.699999988079,NA,NA,trial,NA,40,500,3807.699999988079,null,null,self_paced,0,NA,images/stimuli/simple_17_A_a.gif,NA
NA,html-keyboard-response,16,176373,0.0-18.0-6.0-0.4,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,17,178131,0.0-18.0-6.0-1.4,SS1651686913194,1249.0999999642372,NA,NA,trial,NA,40,500,1749.0999999642372,null,null,self_paced,0,NA,images/stimuli/simple_09_A_a.gif,NA
NA,html-keyboard-response,18,179071,0.0-18.0-6.0-0.5,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,19,180440,0.0-18.0-6.0-1.5,SS1651686913194,860.6999999880791,NA,NA,trial,NA,40,500,1360.699999988079,null,null,self_paced,0,NA,images/stimuli/simple_03_A_a.gif,NA
NA,html-keyboard-response,20,181730,0.0-18.0-6.0-0.6,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,21,186562,0.0-18.0-6.0-1.6,SS1651686913194,4325.600000023842,NA,NA,trial,NA,40,500,4825.600000023842,null,null,self_paced,0,NA,images/stimuli/complex_03_A_a.gif,NA
NA,html-keyboard-response,22,187597,0.0-18.0-6.0-0.7,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,23,191492,0.0-18.0-6.0-1.7,SS1651686913194,3387.7999999523163,NA,NA,trial,NA,40,500,3887.799999952316,null,null,self_paced,0,NA,images/stimuli/simple_11_A_a.gif,NA
NA,html-keyboard-response,24,192564,0.0-18.0-6.0-0.8,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,25,197604,0.0-18.0-6.0-1.8,SS1651686913194,4533.100000023842,NA,NA,trial,NA,40,500,5033.100000023842,null,null,self_paced,0,NA,images/stimuli/complex_13_A_a.gif,NA
