subject,bing_id,child_age_group,age_in_months,block_number,trial_number,block_type,trial_type,block_background,block_deviant,deviant_position,stimulus_displayed,trial_looking_time,task_type,task_question_type,task_question_response,participant_type
SS1649107163440,bb533,5,63.599999999999994,8,3,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,982.2999999523164,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,8,4,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,586,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,8,5,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,1122.7000000476835,NA,NA,NA,kids
SS1649107163440,bb533,5,63.599999999999994,8,6,complex_dissimilar,background,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_17_A_a.gif,NA,images/stimuli/complex_02_A_a.gif,688.4000000953674,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,1,1,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,3182.600000023842,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,1,2,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,3466.100000023842,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,1,3,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,2446.600000023842,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,1,4,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,2529.400000095367,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,1,5,complex_dissimilar,background,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_14_A_b.gif,2042,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,1,6,complex_dissimilar,deviant,images/stimuli/complex_14_A_b.gif,images/stimuli/complex_12_A_a.gif,6,images/stimuli/complex_12_A_a.gif,5107.600000023842,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,2,1,complex_dissimilar,background,images/stimuli/complex_07_A_a.gif,images/stimuli/complex_18_A_b.gif,NA,images/stimuli/complex_07_A_a.gif,6347.200000047684,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,2,2,complex_dissimilar,background,images/stimuli/complex_07_A_a.gif,images/stimuli/complex_18_A_b.gif,NA,images/stimuli/complex_07_A_a.gif,592.8999999761581,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,2,3,complex_dissimilar,background,images/stimuli/complex_07_A_a.gif,images/stimuli/complex_18_A_b.gif,NA,images/stimuli/complex_07_A_a.gif,640.9000000953674,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,2,4,complex_dissimilar,background,images/stimuli/complex_07_A_a.gif,images/stimuli/complex_18_A_b.gif,NA,images/stimuli/complex_07_A_a.gif,807.1000000238419,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,2,5,complex_dissimilar,background,images/stimuli/complex_07_A_a.gif,images/stimuli/complex_18_A_b.gif,NA,images/stimuli/complex_07_A_a.gif,827.6999999284744,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,2,6,complex_dissimilar,background,images/stimuli/complex_07_A_a.gif,images/stimuli/complex_18_A_b.gif,NA,images/stimuli/complex_07_A_a.gif,2625.1999999284744,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,3,1,complex_dissimilar,background,images/stimuli/complex_08_A_a.gif,images/stimuli/complex_17_A_b.gif,2,images/stimuli/complex_08_A_a.gif,3405.100000023842,NA,NA,NA,kids
SS1649108043408,bb559,4,59.760000000000005,3,2,complex_dissimilar,deviant,images/stimuli/complex_08_A_a.gif,images/stimuli/complex_17_A_b.gif,2,images/stimuli/complex_17_A_b.gif,4732.799999952316,NA,NA,NA,kids
