subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619113907158,3,complex_dissimilar,4,background,background,complex,complex_12_A,307.3500000173226,forced_long,first half,0,background,NA,NA
SS1619113907158,3,complex_dissimilar,5,background,background,complex,complex_12_A,802.765000029467,forced_long,first half,0,background,NA,NA
SS1619113907158,4,simple_dissimilar,1,background,background,simple,simple_05_A,318.0300000240095,forced_long,first half,2,background,3,5
SS1619113907158,4,simple_dissimilar,2,background,background,simple,simple_05_A,155.399999988731,forced_long,first half,2,background,3,5
SS1619113907158,4,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_12_A,25.305000017397106,forced_long,first half,2,first_deviant,3,5
SS1619113907158,4,simple_dissimilar,4,background,background,simple,simple_05_A,1729.8449999652803,forced_long,first half,2,background,3,5
SS1619113907158,4,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_12_A,99.69000000273809,forced_long,first half,2,second_deviant,3,5
SS1619113907158,5,simple_dissimilar,1,background,background,simple,simple_15_A,330.1600000122562,self_paced,first half,0,background,NA,NA
SS1619113907158,5,simple_dissimilar,2,background,background,simple,simple_15_A,387.9399999859743,self_paced,first half,0,background,NA,NA
SS1619113907158,5,simple_dissimilar,3,background,background,simple,simple_15_A,972.345000016503,self_paced,first half,0,background,NA,NA
SS1619113907158,5,simple_dissimilar,4,background,background,simple,simple_15_A,4081.164999981411,self_paced,first half,0,background,NA,NA
SS1619113907158,5,simple_dissimilar,5,background,background,simple,simple_15_A,1669.2599999951199,self_paced,first half,0,background,NA,NA
SS1619113907158,6,simple_dissimilar,1,background,background,simple,simple_03_A,349.38999998848885,forced_short,second half,2,background,3,4
SS1619113907158,6,simple_dissimilar,2,background,background,simple,simple_03_A,682.0000000298023,forced_short,second half,2,background,3,4
SS1619113907158,6,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_13_A,1371.3149999966845,forced_short,second half,2,first_deviant,3,4
SS1619113907158,6,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_13_A,2430.355000018608,forced_short,second half,2,second_deviant,3,4
SS1619113907158,7,simple_dissimilar,1,background,background,simple,simple_01_A,3690.520000003744,forced_short,second half,1,background,3,NA
SS1619113907158,7,simple_dissimilar,2,background,background,simple,simple_01_A,5.550000001676381,forced_short,second half,1,background,3,NA
SS1619113907158,7,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_02_A,3631.984999985434,forced_short,second half,1,first_deviant,3,NA
SS1619113907158,7,simple_dissimilar,4,background,background,simple,simple_01_A,1587.5249999808148,forced_short,second half,1,background,3,NA
SS1619113907158,7,simple_dissimilar,5,background,background,simple,simple_01_A,1767.6600000122562,forced_short,second half,1,background,3,NA
SS1619113907158,8,complex_dissimilar,1,background,background,complex,complex_18_A,445.37999999010935,forced_long,second half,1,background,5,NA
SS1619113907158,8,complex_dissimilar,2,background,background,complex,complex_18_A,325.9599999873899,forced_long,second half,1,background,5,NA
SS1619113907158,8,complex_dissimilar,3,background,background,complex,complex_18_A,833.760000008624,forced_long,second half,1,background,5,NA
SS1619113907158,8,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_17_A,676.6499999794178,forced_long,second half,1,first_deviant,5,NA
SS1619113907158,9,complex_dissimilar,1,background,background,complex,complex_09_A,2002.5949999690056,self_paced,second half,0,background,NA,NA
SS1619113907158,9,complex_dissimilar,2,background,background,complex,complex_09_A,843.0550000048243,self_paced,second half,0,background,NA,NA
SS1619113907158,9,complex_dissimilar,3,background,background,complex,complex_09_A,798.6649999511428,self_paced,second half,0,background,NA,NA
SS1619113907158,9,complex_dissimilar,4,background,background,complex,complex_09_A,1983.2300000125542,self_paced,second half,0,background,NA,NA
SS1619113907158,10,complex_dissimilar,1,background,background,complex,complex_03_A,972.8799999575131,forced_short,second half,2,background,3,5
SS1619113907158,10,complex_dissimilar,2,background,background,complex,complex_03_A,271.40999998664483,forced_short,second half,2,background,3,5
SS1619113907158,10,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_08_A,146.78000001003966,forced_short,second half,2,first_deviant,3,5
SS1619113907158,10,complex_dissimilar,4,background,background,complex,complex_03_A,82.05999998608604,forced_short,second half,2,background,3,5
SS1619113907158,10,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_08_A,316.4200000464916,forced_short,second half,2,second_deviant,3,5
SS1619113907158,11,complex_dissimilar,1,background,background,complex,complex_16_A,2750.285000016447,forced_short,second half,2,background,4,6
SS1619113907158,11,complex_dissimilar,2,background,background,complex,complex_16_A,1085.2200000081211,forced_short,second half,2,background,4,6
SS1619113907158,11,complex_dissimilar,3,background,background,complex,complex_16_A,139.89499997114763,forced_short,second half,2,background,4,6
SS1619113907158,11,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_07_A,276.01999999023974,forced_short,second half,2,first_deviant,4,6
SS1619113907158,11,complex_dissimilar,5,background,background,complex,complex_16_A,379.7649999614805,forced_short,second half,2,background,4,6
SS1619113907158,11,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_07_A,1115.0150000466965,forced_short,second half,2,second_deviant,4,6
SS1619113915776,0,complex_dissimilar,1,background,background,complex,complex_07_A,8608.06000046432,forced_short,first half,1,background,2,NA
SS1619113915776,0,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_05_A,1143.3300003409386,forced_short,first half,1,first_deviant,2,NA
SS1619113915776,0,complex_dissimilar,3,background,background,complex,complex_07_A,826.2400012463331,forced_short,first half,1,background,2,NA
SS1619113915776,0,complex_dissimilar,4,background,background,complex,complex_07_A,868.2850003242493,forced_short,first half,1,background,2,NA
SS1619113915776,1,complex_dissimilar,1,background,background,complex,complex_04_A,2374.075001105666,forced_long,first half,1,background,6,NA
SS1619113915776,1,complex_dissimilar,2,background,background,complex,complex_04_A,2186.1099991947412,forced_long,first half,1,background,6,NA
SS1619113915776,1,complex_dissimilar,3,background,background,complex,complex_04_A,1696.5349987149239,forced_long,first half,1,background,6,NA
SS1619113915776,1,complex_dissimilar,4,background,background,complex,complex_04_A,1069.1500008106232,forced_long,first half,1,background,6,NA
SS1619113915776,1,complex_dissimilar,5,background,background,complex,complex_04_A,1091.7849987745285,forced_long,first half,1,background,6,NA
SS1619113915776,1,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_12_A,2725.58500058949,forced_long,first half,1,first_deviant,6,NA
SS1619113915776,2,simple_dissimilar,1,background,background,simple,simple_09_A,5555.469999089837,self_paced,first half,0,background,NA,NA
SS1619113915776,2,simple_dissimilar,2,background,background,simple,simple_09_A,3979.849999770522,self_paced,first half,0,background,NA,NA
SS1619113915776,2,simple_dissimilar,3,background,background,simple,simple_09_A,294.1599991172552,self_paced,first half,0,background,NA,NA
SS1619113915776,2,simple_dissimilar,4,background,background,simple,simple_09_A,612.1249999850988,self_paced,first half,0,background,NA,NA
SS1619113915776,2,simple_dissimilar,5,background,background,simple,simple_09_A,737.2149992734194,self_paced,first half,0,background,NA,NA
SS1619113915776,2,simple_dissimilar,6,background,background,simple,simple_09_A,532.490000128746,self_paced,first half,0,background,NA,NA
SS1619113915776,3,simple_dissimilar,1,background,background,simple,simple_16_A,4860.249999910593,forced_short,first half,1,background,5,NA
SS1619113915776,3,simple_dissimilar,2,background,background,simple,simple_16_A,508.0549996346235,forced_short,first half,1,background,5,NA
SS1619113915776,3,simple_dissimilar,3,background,background,simple,simple_16_A,445.6650000065565,forced_short,first half,1,background,5,NA
SS1619113915776,3,simple_dissimilar,4,background,background,simple,simple_16_A,760.2599989622831,forced_short,first half,1,background,5,NA
SS1619113915776,3,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_01_A,1300.2450000494719,forced_short,first half,1,first_deviant,5,NA
SS1619113915776,4,complex_dissimilar,1,background,background,complex,complex_11_A,1358.3249989897013,self_paced,first half,1,background,3,NA
SS1619113915776,4,complex_dissimilar,2,background,background,complex,complex_11_A,815.7799988985062,self_paced,first half,1,background,3,NA
SS1619113915776,4,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_05_A,14.995001256465912,self_paced,first half,1,first_deviant,3,NA
SS1619113915776,4,complex_dissimilar,4,background,background,complex,complex_11_A,190.96000120043755,self_paced,first half,1,background,3,NA
SS1619113915776,4,complex_dissimilar,5,background,background,complex,complex_11_A,207.28500001132488,self_paced,first half,1,background,3,NA
SS1619113915776,4,complex_dissimilar,6,background,background,complex,complex_11_A,209.65000055730343,self_paced,first half,1,background,3,NA
SS1619113915776,5,simple_dissimilar,1,background,background,simple,simple_02_A,178.29000018537045,self_paced,first half,2,background,2,4
SS1619113915776,5,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_05_A,1239.2900008708239,self_paced,first half,2,first_deviant,2,4
SS1619113915776,5,simple_dissimilar,3,background,background,simple,simple_02_A,809.5150012522936,self_paced,first half,2,background,2,4
SS1619113915776,5,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_05_A,462.59500086307526,self_paced,first half,2,second_deviant,2,4
SS1619113915776,6,simple_dissimilar,1,background,background,simple,simple_11_A,2191.110000014305,forced_short,second half,2,background,2,6
SS1619113915776,6,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_20_A,352.95999981462955,forced_short,second half,2,first_deviant,2,6
SS1619113915776,6,simple_dissimilar,3,background,background,simple,simple_11_A,1048.7649999558926,forced_short,second half,2,background,2,6
SS1619113915776,6,simple_dissimilar,4,background,background,simple,simple_11_A,990.999998524785,forced_short,second half,2,background,2,6
SS1619113915776,6,simple_dissimilar,5,background,background,simple,simple_11_A,767.4199994653463,forced_short,second half,2,background,2,6
SS1619113915776,6,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_20_A,9.849999099969864,forced_short,second half,2,second_deviant,2,6
SS1619113915776,7,complex_dissimilar,1,background,background,complex,complex_14_A,1290.099998936057,forced_long,second half,1,background,6,NA
SS1619113915776,7,complex_dissimilar,2,background,background,complex,complex_14_A,645.3249994665384,forced_long,second half,1,background,6,NA
SS1619113915776,7,complex_dissimilar,3,background,background,complex,complex_14_A,329.44499887526035,forced_long,second half,1,background,6,NA
SS1619113915776,7,complex_dissimilar,4,background,background,complex,complex_14_A,155.77000007033348,forced_long,second half,1,background,6,NA
SS1619113915776,7,complex_dissimilar,5,background,background,complex,complex_14_A,363.42000029981136,forced_long,second half,1,background,6,NA
SS1619113915776,7,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_16_A,474.34999980032444,forced_long,second half,1,first_deviant,6,NA
SS1619113915776,8,complex_dissimilar,1,background,background,complex,complex_19_A,955.2549999207258,self_paced,second half,2,background,2,4
SS1619113915776,8,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_17_A,1007.8249983489513,self_paced,second half,2,first_deviant,2,4
SS1619113915776,8,complex_dissimilar,3,background,background,complex,complex_19_A,660.5950016528368,self_paced,second half,2,background,2,4
SS1619113915776,8,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_17_A,1653.514999896288,self_paced,second half,2,second_deviant,2,4
SS1619113915776,8,complex_dissimilar,5,background,background,complex,complex_19_A,148.26999977231026,self_paced,second half,2,background,2,4
SS1619113915776,8,complex_dissimilar,6,background,background,complex,complex_19_A,68.32499988377094,self_paced,second half,2,background,2,4
SS1619113915776,9,simple_dissimilar,1,background,background,simple,simple_06_A,877.0949989557266,forced_long,second half,2,background,4,5
SS1619113915776,9,simple_dissimilar,2,background,background,simple,simple_06_A,725.390000268817,forced_long,second half,2,background,4,5
SS1619113915776,9,simple_dissimilar,3,background,background,simple,simple_06_A,2930.53499981761,forced_long,second half,2,background,4,5
SS1619113915776,9,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_08_A,280.6450016796589,forced_long,second half,2,first_deviant,4,5
SS1619113915776,9,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_08_A,772.55999855697155,forced_long,second half,2,second_deviant,4,5
SS1619113915776,10,simple_dissimilar,1,background,background,simple,simple_18_A,6050.665000453591,forced_long,second half,1,background,4,NA
SS1619113915776,10,simple_dissimilar,2,background,background,simple,simple_18_A,529.1499998420477,forced_long,second half,1,background,4,NA
SS1619113915776,10,simple_dissimilar,3,background,background,simple,simple_18_A,565.4499996453524,forced_long,second half,1,background,4,NA
SS1619113915776,10,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_07_A,1148.2400000095367,forced_long,second half,1,first_deviant,4,NA
SS1619113915776,10,simple_dissimilar,5,background,background,simple,simple_18_A,1006.4950007945299,forced_long,second half,1,background,4,NA
SS1619113915776,10,simple_dissimilar,6,background,background,simple,simple_18_A,2335.7899989932775,forced_long,second half,1,background,4,NA
SS1619113915776,11,complex_dissimilar,1,background,background,complex,complex_19_A,1301.4299999922514,forced_short,second half,0,background,NA,NA
SS1619113915776,11,complex_dissimilar,2,background,background,complex,complex_19_A,1066.7499992996454,forced_short,second half,0,background,NA,NA
SS1619113915776,11,complex_dissimilar,3,background,background,complex,complex_19_A,1076.7899993807077,forced_short,second half,0,background,NA,NA
SS1619113915776,11,complex_dissimilar,4,background,background,complex,complex_19_A,1365.3299994766712,forced_short,second half,0,background,NA,NA
SS1619114018200,0,complex_dissimilar,1,background,background,complex,complex_04_A,2745.2899999916553,forced_short,first half,1,background,3,NA
SS1619114018200,0,complex_dissimilar,2,background,background,complex,complex_04_A,3157.7500000130385,forced_short,first half,1,background,3,NA
SS1619114018200,0,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_20_A,1869.734999985667,forced_short,first half,1,first_deviant,3,NA
SS1619114018200,0,complex_dissimilar,4,background,background,complex,complex_04_A,1511.9399999966845,forced_short,first half,1,background,3,NA
SS1619114018200,0,complex_dissimilar,5,background,background,complex,complex_04_A,2992.400000017369,forced_short,first half,1,background,3,NA
SS1619114018200,1,complex_dissimilar,1,background,background,complex,complex_02_A,155.3800000110641,forced_long,first half,1,background,6,NA
SS1619114018200,1,complex_dissimilar,2,background,background,complex,complex_02_A,218.16000001854263,forced_long,first half,1,background,6,NA
SS1619114018200,1,complex_dissimilar,3,background,background,complex,complex_02_A,564.2700000025798,forced_long,first half,1,background,6,NA
SS1619114018200,1,complex_dissimilar,4,background,background,complex,complex_02_A,153.48000000813045,forced_long,first half,1,background,6,NA
SS1619114018200,1,complex_dissimilar,5,background,background,complex,complex_02_A,236.24999998719431,forced_long,first half,1,background,6,NA
SS1619114018200,1,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_05_A,60.584999999264255,forced_long,first half,1,first_deviant,6,NA
SS1619114018200,2,complex_dissimilar,1,background,background,complex,complex_13_A,44.77000000770204,forced_long,first half,2,background,5,6
SS1619114018200,2,complex_dissimilar,2,background,background,complex,complex_13_A,118.27000000630505,forced_long,first half,2,background,5,6
SS1619114018200,2,complex_dissimilar,3,background,background,complex,complex_13_A,71.97999997879378,forced_long,first half,2,background,5,6
SS1619114018200,2,complex_dissimilar,4,background,background,complex,complex_13_A,283.3550000214018,forced_long,first half,2,background,5,6
SS1619114018200,2,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_06_A,65.38499999442138,forced_long,first half,2,first_deviant,5,6
SS1619114018200,2,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_06_A,6.054999976186082,forced_long,first half,2,second_deviant,5,6
SS1619114018200,3,complex_dissimilar,1,background,background,complex,complex_07_A,198.30499999807216,self_paced,first half,0,background,NA,NA
SS1619114018200,3,complex_dissimilar,2,background,background,complex,complex_07_A,284.03999999864027,self_paced,first half,0,background,NA,NA
SS1619114018200,3,complex_dissimilar,3,background,background,complex,complex_07_A,64.00499999290332,self_paced,first half,0,background,NA,NA
SS1619114018200,3,complex_dissimilar,4,background,background,complex,complex_07_A,355.4749999893829,self_paced,first half,0,background,NA,NA
SS1619114018200,3,complex_dissimilar,5,background,background,complex,complex_07_A,244.78499998804182,self_paced,first half,0,background,NA,NA
SS1619114018200,3,complex_dissimilar,6,background,background,complex,complex_07_A,86.04500000365078,self_paced,first half,0,background,NA,NA
SS1619114018200,4,simple_dissimilar,1,background,background,simple,simple_12_A,56.47999999928288,forced_short,first half,0,background,NA,NA
SS1619114018200,4,simple_dissimilar,2,background,background,simple,simple_12_A,206.2349999905564,forced_short,first half,0,background,NA,NA
SS1619114018200,4,simple_dissimilar,3,background,background,simple,simple_12_A,294.46000000461936,forced_short,first half,0,background,NA,NA
