"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","prolific_id","study","session","window_width","window_height","view_history","rt","stimulus_type","response","question_order","rating_type","rating_stimulus","rating_animacy","rating_number","rating_pose","stimulus"
"","","","","","survey-likert","10","91200","0.0-10.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","6860","","{""Q0"":0}","[0]","complexity","media/stimuli/animate_008_left.png","animate","single","left",""
"","","","","","survey-likert","11","97598","0.0-11.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","6380","","{""Q0"":0}","[0]","complexity","media/stimuli/animate_011_right.png","animate","pair","right",""
"","","","","","survey-likert","12","102171","0.0-12.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","4560","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_011_left.png","animate","single","left",""
"","","","","","survey-likert","13","105860","0.0-13.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","3663","","{""Q0"":1}","[0]","complexity","media/stimuli/inanimate_001_left.png","inanimate","single","left",""
"","","","","","survey-likert","14","110173","0.0-14.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","4297","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_003_left.png","animate","single","left",""
"","","","","","survey-likert","15","115189","0.0-15.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","4991","","{""Q0"":1}","[0]","complexity","media/stimuli/inanimate_003_left.png","inanimate","pair","left",""
"","","","","","survey-likert","16","118509","0.0-16.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","3298","","{""Q0"":0}","[0]","complexity","media/stimuli/animate_011_right.png","animate","single","right",""
"","","","","","survey-likert","17","121530","0.0-17.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","3001","","{""Q0"":1}","[0]","complexity","media/stimuli/animate_011_left.png","animate","pair","left",""
"","","","","","survey-likert","18","124709","0.0-18.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","3164","","{""Q0"":1}","[0]","complexity","media/stimuli/inanimate_010_left.png","inanimate","pair","left",""
"","","","","","survey-likert","19","128026","0.0-19.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","3305","","{""Q0"":0}","[0]","complexity","media/stimuli/inanimate_003_left.png","inanimate","single","left",""
"","","","","","html-keyboard-response","20","130741","0.0-20.0","SS1678233212268","60bd28cc95ab27d4f4f6ada3","6406d7f26dd5b7fc1e3377bd","6407ce69942ed3136fed85e5","1365","619","","2692",""," ","","","","","","",""
