,prolific_id,trial_type,rt,background,deviant,block_type,trial_index,fam_trial,total_rt,response,question_order,rating_type,response
196,60476ecfdd72a724ee081741,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,8,4.0,,,,,
197,603b0cceef3baf7b6df2d475,survey-likert,6116.0,,,,9,,,{'Q0': 3},[0],background,{'Q0': 3}
198,5c431f3db00b3300018f3ce5,curtain-display,,,,,5,,,,,,
199,651659b4017f7a6da9b60ded,curtain-display,4582.0,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,8,0.0,5082.0,,,,
200,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,11,8.0,,,,,
201,605d880baff3193baf90c875,curtain-display,,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,all_background,31,4.0,,,,,
202,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,10,8.0,,,,,
203,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,8,8.0,,,,,
204,60476ecfdd72a724ee081741,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,9,4.0,,,,,
205,647896fae4473728c2db49cb,fullscreen,,,,,1,,,,,,
206,603b0cceef3baf7b6df2d475,curtain-display,,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,all_background,10,8.0,,,,,
207,605d880baff3193baf90c875,curtain-display,816.0,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_left_2.gif,all_background,32,4.0,1316.0,,,,
208,5ea37cd0e9fb242ff94ccbc3,preload,,,,,0,,,,,,
209,5ea37cd0e9fb242ff94ccbc3,preload,,,,,0,,,,,,
210,5c19da4c5ead950001bdbe86,preload,,,,,0,,,,,,
211,5c19da4c5ead950001bdbe86,preload,,,,,0,,,,,,
212,647896fae4473728c2db49cb,instructions,1836.0,,,,2,,,,,,
213,5e8df4ff41edd907ccc32428,curtain-display,9744.0,,,,6,,10244.0,,,,
214,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,12,8.0,,,,,
215,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,11,8.0,,,,,
216,651659b4017f7a6da9b60ded,survey-likert,4838.0,,,,9,,,{'Q0': 2},[0],background,{'Q0': 2}
217,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,9,8.0,,,,,
218,60476ecfdd72a724ee081741,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,10,4.0,,,,,
219,60ee4a789df895b03c75495b,preload,,,,,0,,,,,,
220,60ee4a789df895b03c75495b,preload,,,,,0,,,,,,
221,603b0cceef3baf7b6df2d475,curtain-display,,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,all_background,11,8.0,,,,,
222,5c431f3db00b3300018f3ce5,curtain-display,5775.0,,,,6,,6275.0,,,,
223,648251f5f13f3cab9a86e5cc,preload,,,,,0,,,,,,
224,648251f5f13f3cab9a86e5cc,preload,,,,,0,,,,,,
225,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,13,8.0,,,,,
226,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,12,8.0,,,,,
227,651659b4017f7a6da9b60ded,curtain-display,,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,deviant,10,4.0,,,,,
228,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,10,8.0,,,,,
229,60476ecfdd72a724ee081741,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,11,4.0,,,,,
230,5ea37cd0e9fb242ff94ccbc3,fullscreen,,,,,1,,,,,,
231,603b0cceef3baf7b6df2d475,curtain-display,,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,all_background,12,8.0,,,,,
232,605d880baff3193baf90c875,survey-likert,7180.0,,,,33,,,{'Q0': 2},[0],background,{'Q0': 2}
233,5d6d82acab68f90001f53194,curtain-display,13595.0,,,,6,,14095.0,,,,
234,645518d454a9276752174fd6,curtain-display,,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_left_1.gif,deviant,14,8.0,,,,,
235,60f1afe91e1121676c67ebf5,fullscreen,,,,,1,,,,,,
236,605cfe0825d0e0494ad7dc58,fullscreen,,,,,1,,,,,,
237,60c1889edf71db16c09529fc,instructions,14568.0,,,,7,,,,,,
238,60f2893b3b82491a793d2085,curtain-display,,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,deviant,13,8.0,,,,,
239,605d880baff3193baf90c875,curtain-display,1078.0,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,34,0.0,1578.0,,,,
240,651659b4017f7a6da9b60ded,curtain-display,,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,deviant,11,4.0,,,,,
241,5eb544fbef7dae3ce4d05d89,curtain-display,,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif,deviant,11,8.0,,,,,
242,648251f5f13f3cab9a86e5cc,fullscreen,,,,,1,,,,,,
243,603b0cceef3baf7b6df2d475,curtain-display,,media/animal_stim/whitened/001_right_1.gif,media/animal_stim/whitened/001_right_2.gif,all_background,13,8.0,,,,,
244,60f1afe91e1121676c67ebf5,instructions,1283.0,,,,2,,,,,,
