prolific_id,rt,block_type,fam_trial,background,deviant,block_id
5e8348450e128b0539d77ddc,4335,all_background,4,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,3
5fb7ba6eddba6439e8717276,1408,all_background,4,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,2
60c939c438c389b49847c08b,671,all_background,4,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif,1
60e5e98326d94f93738053c5,2680,all_background,0,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif,1
5ec31cab8be41217405324fc,4421,deviant,0,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif,3
5ea37cd0e9fb242ff94ccbc3,3684,deviant,8,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif,5
5c60c298af517e0001a00b00,6297,all_background,4,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif,3
601584d717cbb906851646b7,6623,all_background,0,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif,3
647896fae4473728c2db49cb,5094,deviant,0,media/animal_stim/whitened/004_left_2.gif,media/animal_stim/whitened/004_right_1.gif,4
5fb7ba6eddba6439e8717276,3869,deviant,0,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif,3
613c542c957161802d700fb2,1642,all_background,8,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif,1
5a0e34c4087f2e0001eaeb47,7979,all_background,4,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_left_1.gif,2
5fbaee508e8e9695f06fe52e,2298,deviant,8,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,4
5ec31cab8be41217405324fc,613,deviant,4,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif,4
