prolific_id,rt,block_type,fam_trial,background,deviant
5ed2994518f6bd211a146df2,5379,deviant,3,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
610392e34a7b8ed05fe9ba56,10267,all_background,9,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
60bfd7f41bbb4ec7b94d0414,5308,deviant,3,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_left_1.gif
5dfbefa35777b591c3999842,4561,all_background,9,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_right_1.gif
6100b7d1d121da73b60c7b6e,4956,deviant,1,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_left_1.gif
6084499487b6d10d2aabda10,3178,deviant,1,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif
5f1669cf3136a01c1bdac33a,2106,all_background,1,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif
5ec6d06c67b0da0fb6f85e83,1006,all_background,3,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
5fc57392a614900c2bf80b5a,1959,all_background,3,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif
5e67a7d13413ff01776d1ed8,6314,deviant,1,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif
5acb2cb55cd1050001626ff6,2852,deviant,1,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_right_2.gif
5e8f740429529124dfc3e7a5,1941,all_background,9,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif
6000e629a8f991222be27b07,8304,deviant,3,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_left_1.gif
60d01f5f9dc279ad4e3b1e38,1502,all_background,9,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif
6013d0e6bc81f72d3fe0f173,6378,deviant,3,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif
60bfd7f41bbb4ec7b94d0414,6938,all_background,1,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif
5f73427f244c770277ba2a5d,757,all_background,9,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif
646bd5f01b9bf627d190c292,897,all_background,1,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_left_1.gif
6084499487b6d10d2aabda10,2045,deviant,3,media/animal_stim/whitened/003_right_2.gif,media/animal_stim/whitened/003_right_1.gif
5e8f740429529124dfc3e7a5,2460,deviant,1,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
5dfbefa35777b591c3999842,6617,all_background,1,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_right_2.gif
5ba8fbf313a4e900017039a3,962,all_background,1,media/animal_stim/whitened/006_left_1.gif,media/animal_stim/whitened/006_left_2.gif
5acb2cb55cd1050001626ff6,3278,deviant,3,media/animal_stim/whitened/005_right_2.gif,media/animal_stim/whitened/005_right_1.gif
60d01f5f9dc279ad4e3b1e38,907,deviant,3,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif
5f3eb402c130cd1279a72530,6515,deviant,1,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif
5da3620eb16b4d0013af4c7f,7914,deviant,9,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_right_2.gif
602bbb43cfca8a33d87378c7,1247,all_background,9,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif
60801c084f4234dd058263c6,323,all_background,9,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_left_2.gif
646bd5f01b9bf627d190c292,5434,deviant,1,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_right_2.gif
5e8f740429529124dfc3e7a5,1445,deviant,3,media/animal_stim/whitened/006_left_2.gif,media/animal_stim/whitened/006_right_1.gif
613f9cb855a596a57d785da9,3786,deviant,9,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif
60bfd7f41bbb4ec7b94d0414,5134,all_background,3,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
615c2b8cd3a992e14730ada3,260,all_background,1,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_right_1.gif
5e67a7d13413ff01776d1ed8,9737,deviant,3,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif
5ee8b6dbac5fa1054ebd60a7,3163,deviant,9,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_right_1.gif
5f0af097e7d15b3bf7734642,5685,all_background,1,media/animal_stim/whitened/006_right_1.gif,media/animal_stim/whitened/006_left_2.gif
5ba8fbf313a4e900017039a3,3298,deviant,1,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif
613fde0b34b0cbed4c9250ad,817,all_background,9,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif
5ec6d06c67b0da0fb6f85e83,709,all_background,9,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_left_2.gif
60d01f5f9dc279ad4e3b1e38,548,all_background,3,media/animal_stim/whitened/002_left_1.gif,media/animal_stim/whitened/002_left_2.gif
5ed2994518f6bd211a146df2,7071,deviant,9,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif
5f3eb402c130cd1279a72530,5328,all_background,1,media/animal_stim/whitened/001_left_2.gif,media/animal_stim/whitened/001_left_1.gif
610392e34a7b8ed05fe9ba56,9088,deviant,9,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif
5f1669cf3136a01c1bdac33a,6238,deviant,9,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif
6100b7d1d121da73b60c7b6e,4580,all_background,3,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_right_1.gif
