subject,block_number,block_type,forced_exposure_time,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position,memory_false_stimulus,memory_true_stimulus
SS1627326510942,1,complex_dissimilar,510,6,dissimilar deviant,deviant,complex,NA,2594.600000023842,forced_short,first half,2,second_deviant,5,6,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,1,background,background,complex,NA,781.4000000357628,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,2,background,background,complex,NA,1789.9000000357628,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,3,background,background,complex,NA,389.7999999523163,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,4,background,background,complex,NA,2765.699999988079,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,5,background,background,complex,NA,2003.699999988079,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,6,dissimilar deviant,deviant,complex,NA,279.0999999642372,forced_short,first half,1,first_deviant,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,7,background,background,complex,NA,809.1999999880791,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,2,complex_dissimilar,880,8,background,background,complex,NA,313.89999997615814,forced_short,first half,1,background,6,NA,TRUE,TRUE
SS1627326510942,3,complex_dissimilar,90,1,background,background,complex,NA,3014.100000023842,forced_short,first half,1,background,2,NA,TRUE,TRUE
SS1627326510942,3,complex_dissimilar,90,2,dissimilar deviant,deviant,complex,NA,27540.5,forced_short,first half,1,first_deviant,2,NA,TRUE,TRUE
SS1627326510942,3,complex_dissimilar,90,3,background,background,complex,NA,5907.5,forced_short,first half,1,background,2,NA,TRUE,TRUE
SS1627326510942,3,complex_dissimilar,90,4,background,background,complex,NA,1807.300000011921,forced_short,first half,1,background,2,NA,TRUE,TRUE
SS1627326510942,3,complex_dissimilar,90,5,background,background,complex,NA,2021.0999999642372,forced_short,first half,1,background,2,NA,TRUE,TRUE
