"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"","6282","html-keyboard-response","132","429705","0.0-27.0","SS1612928718866","pref_question","","51","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","6","","","",""
"","3282","sequential-stimulus-presentation","133","433893","0.0-28.0","SS1612928718866","pref_reveal","","40","800","4082","","","","","6","","","","novel"
"","null","html-keyboard-response","134","434810","0.0-29.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3581","sequential-stimulus-presentation","135","439271","0.0-29.0-1.0","SS1612928718866","trial","","40","800","4381","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","null","html-keyboard-response","136","440399","0.0-29.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1182","sequential-stimulus-presentation","137","442492","0.0-29.0-1.1","SS1612928718866","trial","","40","800","1982","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","null","html-keyboard-response","138","443800","0.0-29.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","875","sequential-stimulus-presentation","139","445496","0.0-29.0-1.2","SS1612928718866","trial","","40","800","1675","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","null","html-keyboard-response","140","446789","0.0-29.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1709","sequential-stimulus-presentation","141","449309","0.0-29.0-1.3","SS1612928718866","trial","","40","800","2509","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","null","html-keyboard-response","142","450479","0.0-29.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1320","sequential-stimulus-presentation","143","452621","0.0-29.0-1.4","SS1612928718866","trial","","40","800","2120","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","null","html-keyboard-response","144","453549","0.0-29.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1355","sequential-stimulus-presentation","145","455725","0.0-29.0-1.5","SS1612928718866","trial","","40","800","2155","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","null","html-keyboard-response","146","456609","0.0-29.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3613","sequential-stimulus-presentation","147","461104","0.0-29.0-1.6","SS1612928718866","trial","","40","800","4413","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_A_d.gif","left",""
"","null","html-keyboard-response","148","462179","0.0-29.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1437","sequential-stimulus-presentation","149","464437","0.0-29.0-1.7","SS1612928718866","trial","","40","800","2237","","","","","7","simple_similar","images/stimuli/spore_stims/simple_15_B_d.gif","right",""
"","9203","html-keyboard-response","150","473678","0.0-30.0","SS1612928718866","pref_question","","50","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","7","","","",""
"","4708","sequential-stimulus-presentation","151","479237","0.0-31.0","SS1612928718866","pref_reveal","","40","800","5508","","","","","7","","","","novel"
"","null","html-keyboard-response","152","480408","0.0-32.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2755","sequential-stimulus-presentation","153","486190","0.0-32.0-1.0","SS1612928718866","trial","","40","800","3555","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","null","html-keyboard-response","154","487309","0.0-32.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3824","sequential-stimulus-presentation","155","492044","0.0-32.0-1.1","SS1612928718866","trial","","40","800","4624","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","null","html-keyboard-response","156","493297","0.0-32.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","918","sequential-stimulus-presentation","157","495079","0.0-32.0-1.2","SS1612928718866","trial","","40","800","1718","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_B_c.gif","right",""
"","null","html-keyboard-response","158","496337","0.0-32.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","772","sequential-stimulus-presentation","159","497922","0.0-32.0-1.3","SS1612928718866","trial","","40","800","1572","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","null","html-keyboard-response","160","499188","0.0-32.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","835","sequential-stimulus-presentation","161","500845","0.0-32.0-1.4","SS1612928718866","trial","","40","800","1635","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","null","html-keyboard-response","162","501798","0.0-32.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1325","sequential-stimulus-presentation","163","503947","0.0-32.0-1.5","SS1612928718866","trial","","40","800","2125","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","null","html-keyboard-response","164","504778","0.0-32.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2545","sequential-stimulus-presentation","165","508206","0.0-32.0-1.6","SS1612928718866","trial","","40","800","3345","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","null","html-keyboard-response","166","509257","0.0-32.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","533","sequential-stimulus-presentation","167","510702","0.0-32.0-1.7","SS1612928718866","trial","","40","800","1333","","","","","8","complex_similar","images/stimuli/spore_stims/complex_16_A_c.gif","left",""
"","7371","html-keyboard-response","168","518237","0.0-33.0","SS1612928718866","pref_question","","50","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","8","","","",""
"","3186","sequential-stimulus-presentation","169","522604","0.0-34.0","SS1612928718866","pref_reveal","","40","800","3986","","","","","8","","","","novel"
"","null","html-keyboard-response","170","523878","0.0-35.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","25479","sequential-stimulus-presentation","171","550298","0.0-35.0-1.0","SS1612928718866","trial","","40","800","26279","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","null","html-keyboard-response","172","551129","0.0-35.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1909","sequential-stimulus-presentation","173","554620","0.0-35.0-1.1","SS1612928718866","trial","","40","800","2709","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","null","html-keyboard-response","174","555549","0.0-35.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","850","sequential-stimulus-presentation","175","557240","0.0-35.0-1.2","SS1612928718866","trial","","40","800","1650","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","null","html-keyboard-response","176","558519","0.0-35.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3542","sequential-stimulus-presentation","177","563123","0.0-35.0-1.3","SS1612928718866","trial","","40","800","4342","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","null","html-keyboard-response","178","564439","0.0-35.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1500","sequential-stimulus-presentation","179","566771","0.0-35.0-1.4","SS1612928718866","trial","","40","800","2300","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","null","html-keyboard-response","180","567759","0.0-35.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","7895","sequential-stimulus-presentation","181","576646","0.0-35.0-1.5","SS1612928718866","trial","","40","800","8695","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","null","html-keyboard-response","182","577858","0.0-35.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3374","sequential-stimulus-presentation","183","582154","0.0-35.0-1.6","SS1612928718866","trial","","40","800","4174","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_B_d.gif","right",""
"","null","html-keyboard-response","184","583218","0.0-35.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","7094","sequential-stimulus-presentation","185","591154","0.0-35.0-1.7","SS1612928718866","trial","","40","800","7894","","","","","9","simple_similar","images/stimuli/spore_stims/simple_11_A_d.gif","left",""
"","14222","html-keyboard-response","186","605634","0.0-36.0","SS1612928718866","pref_question","","50","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","9","","","",""
"","55870","sequential-stimulus-presentation","187","662652","0.0-37.0","SS1612928718866","pref_reveal","","40","800","56670","","","","","9","","","","novel"
"","null","html-keyboard-response","188","663606","0.0-38.0-0.0","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","31378","sequential-stimulus-presentation","189","695914","0.0-38.0-1.0","SS1612928718866","trial","","40","800","32178","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","null","html-keyboard-response","190","697175","0.0-38.0-0.1","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","617","sequential-stimulus-presentation","191","698633","0.0-38.0-1.1","SS1612928718866","trial","","40","800","1417","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","null","html-keyboard-response","192","705205","0.0-38.0-0.2","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","431","sequential-stimulus-presentation","193","706497","0.0-38.0-1.2","SS1612928718866","trial","","40","800","1231","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","html-keyboard-response","194","707595","0.0-38.0-0.3","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1175","sequential-stimulus-presentation","195","709878","0.0-38.0-1.3","SS1612928718866","trial","","40","800","1975","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","null","html-keyboard-response","196","711074","0.0-38.0-0.4","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","2702","sequential-stimulus-presentation","197","714677","0.0-38.0-1.4","SS1612928718866","trial","","40","800","3502","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","null","html-keyboard-response","198","715734","0.0-38.0-0.5","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1273","sequential-stimulus-presentation","199","718608","0.0-38.0-1.5","SS1612928718866","trial","","40","800","2073","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","null","html-keyboard-response","200","719474","0.0-38.0-0.6","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","6092","sequential-stimulus-presentation","201","727877","0.0-38.0-1.6","SS1612928718866","trial","","40","800","6892","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","null","html-keyboard-response","202","729094","0.0-38.0-0.7","SS1612928718866","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1348","sequential-stimulus-presentation","203","731342","0.0-38.0-1.7","SS1612928718866","trial","","40","800","2148","","","","","10","complex_dissimilar","images/stimuli/spore_stims/complex_10_B_b.gif","middle",""
"","37966","html-keyboard-response","204","769494","0.0-39.0","SS1612928718866","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","10","","","",""
"","93194","sequential-stimulus-presentation","205","864882","0.0-40.0","SS1612928718866","pref_reveal","","40","800","93994","","","","","10","","","","novel"
