"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","html-keyboard-response","44","223641","0.0-14.0-0.0","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","4187.165000010282","sequential-stimulus-presentation","45","228653","0.0-14.0-1.0","SS1612925841711","trial","","40","800","4987.165000010282","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","46","229762","0.0-14.0-0.1","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6009.515000041574","sequential-stimulus-presentation","47","236617","0.0-14.0-1.1","SS1612925841711","trial","","40","800","6809.515000041574","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","48","237837","0.0-14.0-0.2","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6276.799999992363","sequential-stimulus-presentation","49","244953","0.0-14.0-1.2","SS1612925841711","trial","","40","800","7076.799999992363","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","50","245788","0.0-14.0-0.3","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3736.3899999763817","sequential-stimulus-presentation","51","250376","0.0-14.0-1.3","SS1612925841711","trial","","40","800","4536.389999976382","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","52","251646","0.0-14.0-0.4","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2939.49000001885","sequential-stimulus-presentation","53","255429","0.0-14.0-1.4","SS1612925841711","trial","","40","800","3739.49000001885","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","54","256550","0.0-14.0-0.5","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1927.670000004582","sequential-stimulus-presentation","55","259328","0.0-14.0-1.5","SS1612925841711","trial","","40","800","2727.670000004582","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","56","260389","0.0-14.0-0.6","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","888.9750000089407","sequential-stimulus-presentation","57","262106","0.0-14.0-1.6","SS1612925841711","trial","","40","800","1688.9750000089407","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","middle","","","","",""
"","null","html-keyboard-response","58","263151","0.0-14.0-0.7","SS1612925841711","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3458.369999891147","sequential-stimulus-presentation","59","267496","0.0-14.0-1.7","SS1612925841711","trial","","40","800","4258.369999891147","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_16_B_a.gif","left","","","","",""
"","4761.83500001207","html-keyboard-response","60","272288","0.0-15.0","SS1612925841711","pref_question","","51","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","2","","","","","","","",""
