rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,block_number,block_type,stimulus_displayed,question_order,question_stimuli,block_index,stimulus_left,stimulus_right,math_correct_answer
null,NA,html-keyboard-response,27,88993,0.0-10.0-0.3,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
287.5,NA,stimuli-presentation,28,89787,0.0-10.0-1.3,SS1630642817043,NA,NA,trial,NA,40,500,787.5,images/stimuli/simple_02_A_a.gif,images/stimuli/simple_06_A_a.gif,self_paced,180,NA,1,simple_dissimilar,images/stimuli/simple_06_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,29,90873,0.0-10.0-0.4,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
319.7999999523163,NA,stimuli-presentation,30,91700,0.0-10.0-1.4,SS1630642817043,NA,NA,trial,NA,40,500,819.7999999523163,images/stimuli/simple_02_A_a.gif,images/stimuli/simple_06_A_a.gif,self_paced,180,NA,1,simple_dissimilar,images/stimuli/simple_06_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,31,92744,0.0-10.0-0.5,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
1215.5,NA,stimuli-presentation,32,94467,0.0-10.0-1.5,SS1630642817043,NA,NA,trial,NA,40,500,1715.5,images/stimuli/simple_02_A_a.gif,images/stimuli/simple_06_A_a.gif,self_paced,180,NA,1,simple_dissimilar,images/stimuli/simple_06_A_a.gif,NA,NA,NA,NA,NA,NA
3412.5,"{""Q0"":1}",survey-likert,33,97882,0.0-11.0,SS1630642817043,NA,NA,curiousity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_06_A_a.gif,1,NA,NA,NA
null,NA,html-keyboard-response,34,98782,0.0-12.0-0.0,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,stimuli-presentation,35,99289,0.0-12.0-1.0,SS1630642817043,NA,NA,trial,NA,40,500,502.5,images/stimuli/complex_14_A_a.gif,images/stimuli/complex_12_A_a.gif,self_paced,230,NA,2,complex_dissimilar,images/stimuli/complex_12_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,36,100135,0.0-12.0-0.1,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
