prolific_id,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type,background_id,background_animacy,background_pose,background_number,deviant_id,deviant_animacy,deviant_pose,deviant_number,same_animacy,same_number,same_pose,same_id
6595be0e8ac3f1327fec5bf8,6451,background_block,media/padded_stims/animate_007_right.png,,animate_single_right,,background,4,1,2,animate,single,right,background,007,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
605da94ba47f45380a1c7d57,3326,background_block,media/padded_stims/animate_007_left.png,,animate_pair_left,,background,6,1,2,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
605da94ba47f45380a1c7d57,2623,background_block,media/padded_stims/animate_007_left.png,,animate_pair_left,,background,6,2,2,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
6595be0e8ac3f1327fec5bf8,5941,background_block,media/padded_stims/animate_007_right.png,,animate_single_right,,background,4,2,2,animate,single,right,background,007,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
605da94ba47f45380a1c7d57,2186,background_block,media/padded_stims/animate_007_left.png,,animate_pair_left,,background,6,3,2,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
605da94ba47f45380a1c7d57,2113,background_block,media/padded_stims/animate_007_left.png,,animate_pair_left,,background,6,4,2,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
6595be0e8ac3f1327fec5bf8,4583,background_block,media/padded_stims/animate_007_right.png,,animate_single_right,,background,4,3,2,animate,single,right,background,007,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
605da94ba47f45380a1c7d57,2823,background_block,media/padded_stims/animate_007_left.png,,animate_pair_left,,background,6,5,2,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,3240,background_block,media/padded_stims/animate_001_right.png,,animate_single_right,,background,4,1,2,animate,single,right,background,001,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
605da94ba47f45380a1c7d57,2184,background_block,media/padded_stims/animate_007_left.png,,animate_pair_left,,background,6,6,2,animate,pair,left,background,007,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA
6595be0e8ac3f1327fec5bf8,5369,background_block,media/padded_stims/animate_007_right.png,,animate_single_right,,background,4,4,2,animate,single,right,background,007,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
65263de10f1e7475f5b1fc21,2055,background_block,media/padded_stims/animate_001_right.png,,animate_single_right,,background,4,2,2,animate,single,right,background,001,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
65263de10f1e7475f5b1fc21,2110,background_block,media/padded_stims/animate_001_right.png,,animate_single_right,,background,4,3,2,animate,single,right,background,001,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
65263de10f1e7475f5b1fc21,1618,background_block,media/padded_stims/animate_001_right.png,,animate_single_right,,background,4,4,2,animate,single,right,background,001,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA
605da94ba47f45380a1c7d57,1763,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_006_right.png,animate_single_right,animate_pair_right,number,4,1,3,animate,single,right,background,006,animate,right,single,006,animate,right,pair,TRUE,FALSE,TRUE,TRUE
605da94ba47f45380a1c7d57,1756,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_006_right.png,animate_single_right,animate_pair_right,number,4,2,3,animate,single,right,background,006,animate,right,single,006,animate,right,pair,TRUE,FALSE,TRUE,TRUE
605da94ba47f45380a1c7d57,4898,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_006_right.png,animate_single_right,animate_pair_right,number,4,3,3,animate,single,right,background,006,animate,right,single,006,animate,right,pair,TRUE,FALSE,TRUE,TRUE
