"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"","269.51000000193017","sequential-stimulus-presentation","105","420633","0.0-24.0-1.1","SS1617819279925","trial","","40","1000","1269.5100000019302","images/stimuli/spore_stims/simple_13_A_a.gif","images/stimuli/spore_stims/simple_17_A_b.gif","","8","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","","","","",""
"","null","html-keyboard-response","106","421795","0.0-24.0-0.2","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2429.6100000028964","sequential-stimulus-presentation","107","425230","0.0-24.0-1.2","SS1617819279925","trial","","40","1000","3429.6100000028964","images/stimuli/spore_stims/simple_13_A_a.gif","images/stimuli/spore_stims/simple_17_A_b.gif","","8","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","","","","",""
"","null","html-keyboard-response","108","426512","0.0-24.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","817.0549999995856","sequential-stimulus-presentation","109","428334","0.0-24.0-1.3","SS1617819279925","trial","","40","1000","1817.0549999995856","images/stimuli/spore_stims/simple_13_A_a.gif","images/stimuli/spore_stims/simple_17_A_b.gif","","8","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","","","","",""
"","3479.0050000010524","survey-multi-choice","110","431815","0.0-25.0","SS1617819279925","math_question","","","","","","","","","","","{""Q0"":""15""}","[0]","15","",""
"","null","html-keyboard-response","111","433070","0.0-26.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5319.649999997579","sequential-stimulus-presentation","112","439395","0.0-26.0-1.0","SS1617819279925","trial","","40","1000","6319.649999997579","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","9","complex_dissimilar","images/stimuli/spore_stims/complex_16_A_a.gif","","","","",""
"","null","html-keyboard-response","113","440280","0.0-26.0-0.1","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5118.105000001378","sequential-stimulus-presentation","114","446403","0.0-26.0-1.1","SS1617819279925","trial","","40","1000","6118.105000001378","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","9","complex_dissimilar","images/stimuli/spore_stims/complex_11_A_b.gif","","","","",""
"","null","html-keyboard-response","115","447227","0.0-26.0-0.2","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4055.589999999909","sequential-stimulus-presentation","116","452289","0.0-26.0-1.2","SS1617819279925","trial","","40","1000","5055.589999999909","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","9","complex_dissimilar","images/stimuli/spore_stims/complex_16_A_a.gif","","","","",""
"","null","html-keyboard-response","117","453132","0.0-26.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3129.259999997914","sequential-stimulus-presentation","118","457266","0.0-26.0-1.3","SS1617819279925","trial","","40","1000","4129.259999997914","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","9","complex_dissimilar","images/stimuli/spore_stims/complex_16_A_a.gif","","","","",""
"","null","html-keyboard-response","119","458494","0.0-26.0-0.4","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4682.724999998754","sequential-stimulus-presentation","120","464183","0.0-26.0-1.4","SS1617819279925","trial","","40","1000","5682.724999998754","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","9","complex_dissimilar","images/stimuli/spore_stims/complex_11_A_b.gif","","","","",""
"","186757.91000000032","survey-multi-choice","121","650943","0.0-27.0","SS1617819279925","math_question","","","","","","","","","","","{""Q0"":""9""}","[0]","9","",""
"","null","html-keyboard-response","122","651918","0.0-28.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4150.424999999814","sequential-stimulus-presentation","123","657073","0.0-28.0-1.0","SS1617819279925","trial","","40","1000","5150.424999999814","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_09_A_b.gif","","10","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_b.gif","","","","",""
"","null","html-keyboard-response","124","658122","0.0-28.0-0.1","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5355.690000000293","sequential-stimulus-presentation","125","664482","0.0-28.0-1.1","SS1617819279925","trial","","40","1000","6355.690000000293","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_09_A_b.gif","","10","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","","","","",""
"","null","html-keyboard-response","126","665646","0.0-28.0-0.2","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4332.72500000021","sequential-stimulus-presentation","127","670983","0.0-28.0-1.2","SS1617819279925","trial","","40","1000","5332.72500000021","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_09_A_b.gif","","10","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_b.gif","","","","",""
"","null","html-keyboard-response","128","671865","0.0-28.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3904.6349999989616","sequential-stimulus-presentation","129","676775","0.0-28.0-1.3","SS1617819279925","trial","","40","1000","4904.634999998962","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_09_A_b.gif","","10","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_b.gif","","","","",""
"","5051.649999997695","survey-multi-choice","130","681831","0.0-29.0","SS1617819279925","math_question","","","","","","","","","","","{""Q0"":""16""}","[0]","16","",""
"","null","html-keyboard-response","131","682846","0.0-30.0-0.0","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1555.9949999988312","sequential-stimulus-presentation","132","685408","0.0-30.0-1.0","SS1617819279925","trial","","40","1000","2555.994999998831","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_11_A_b.gif","","11","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_b.gif","","","","",""
"","null","html-keyboard-response","133","686514","0.0-30.0-0.1","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","496.4349999972619","sequential-stimulus-presentation","134","688015","0.0-30.0-1.1","SS1617819279925","trial","","40","1000","1496.434999997262","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_11_A_b.gif","","11","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_b.gif","","","","",""
"","null","html-keyboard-response","135","689307","0.0-30.0-0.2","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2471.994999999879","sequential-stimulus-presentation","136","692785","0.0-30.0-1.2","SS1617819279925","trial","","40","1000","3471.994999999879","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_11_A_b.gif","","11","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_b.gif","","","","",""
"","null","html-keyboard-response","137","694016","0.0-30.0-0.3","SS1617819279925","","","null","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","779.774999999092","sequential-stimulus-presentation","138","695803","0.0-30.0-1.3","SS1617819279925","trial","","40","1000","1779.774999999092","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_11_A_b.gif","","11","simple_dissimilar","images/stimuli/spore_stims/simple_11_A_b.gif","","","","",""
"[{""page_index"":0,""viewing_time"":6105.4650000005495}]","6106.070000001695","instructions","139","701911","0.0-31.0","SS1617819279925","instructions","","","","","","","","","","","","","","",""
"","36489.65500000119","survey-likert","140","738407","0.0-32.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":2}","[0]","","images/stimuli/spore_stims/complex_09_A_b.gif","images/stimuli/spore_stims/complex_19_A_a.gif"
"","6835.845000001369","survey-likert","141","745247","0.0-33.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":0}","[0]","","images/stimuli/spore_stims/complex_05_A_b.gif","images/stimuli/spore_stims/complex_20_A_a.gif"
"","10907.139999999432","survey-likert","142","756159","0.0-34.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":2}","[0]","","images/stimuli/spore_stims/complex_12_A_a.gif","images/stimuli/spore_stims/complex_10_A_b.gif"
"","7035.454999997397","survey-likert","143","763199","0.0-35.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":0}","[0]","","images/stimuli/spore_stims/complex_16_A_a.gif","images/stimuli/spore_stims/complex_11_A_b.gif"
"","5164.329999999609","survey-likert","144","768367","0.0-36.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":4}","[0]","","images/stimuli/spore_stims/simple_18_A_a.gif","images/stimuli/spore_stims/simple_16_A_b.gif"
"","4300.204999999609","survey-likert","145","772671","0.0-37.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":5}","[0]","","images/stimuli/spore_stims/simple_11_A_b.gif","images/stimuli/spore_stims/simple_17_A_a.gif"
"","4338.524999999208","survey-likert","146","777015","0.0-38.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":6}","[0]","","images/stimuli/spore_stims/simple_15_A_a.gif","images/stimuli/spore_stims/simple_01_A_b.gif"
"","6876.035000001197","survey-likert","147","783895","0.0-39.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":5}","[0]","","images/stimuli/spore_stims/simple_17_A_b.gif","images/stimuli/spore_stims/simple_13_A_a.gif"
"","4194.219999997644","survey-likert","148","788095","0.0-40.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":4}","[0]","","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_08_A_a.gif"
"","4236.250000001746","survey-likert","149","792335","0.0-41.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":4}","[0]","","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_07_A_b.gif"
"","6747.780000001541","survey-likert","150","799087","0.0-42.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":0}","[0]","","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif"
"","7395.795000000391","survey-likert","151","806487","0.0-43.0","SS1617819279925","similarity_question","","","","","","","","","","","{""Q0"":0}","[0]","","images/stimuli/spore_stims/complex_02_A_b.gif","images/stimuli/spore_stims/complex_11_A_a.gif"
