"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","question_order","question_stimuli","block_index","stimulus_left","stimulus_right"
"1632.8999999761581","{""Q0"":5}","survey-likert","116","195044","0.0-28.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/simple_06_A_a.gif","images/stimuli/simple_02_A_a.gif"
"1422.5999999046326","{""Q0"":1}","survey-likert","117","196474","0.0-29.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/simple_10_A_a.gif","images/stimuli/simple_14_A_a.gif"
"1300.5999999046326","{""Q0"":5}","survey-likert","118","197781","0.0-30.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/complex_14_A_a.gif","images/stimuli/complex_12_A_a.gif"
"1172.6999999284744","{""Q0"":3}","survey-likert","119","198961","0.0-31.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_04_A_a.gif"
"1495.3999999761581","{""Q0"":4}","survey-likert","120","200461","0.0-32.0","SS1630642817043","","","similarity_question","","","","","","","","","","","","","[0]","","","images/stimuli/simple_12_A_a.gif","images/stimuli/simple_11_A_a.gif"
"1535.5","","instructions","121","202003","0.0-33.0","SS1630642817043","","[{""page_index"":0,""viewing_time"":1535.2000000476837}]","instructions","","","","","","","","","","","","","","","","",""
"1570.9000000953674","{""Q0"":2}","survey-likert","122","203579","0.0-34.0","SS1630642817043","","","","","","","","","","","","images/stimuli/simple_06_A_a.gif","","","","[0]","","","",""
"1788.1000000238419","{""Q0"":5}","survey-likert","123","205373","0.0-35.0","SS1630642817043","","","","","","","","","","","","images/stimuli/complex_03_A_a.gif","","","","[0]","","","",""
"1200.5999999046326","{""Q0"":3}","survey-likert","124","206579","0.0-36.0","SS1630642817043","","","","","","","","","","","","images/stimuli/simple_11_A_a.gif","","","","[0]","","","",""
"1546.2000000476837","{""Q0"":4}","survey-likert","125","208132","0.0-37.0","SS1630642817043","","","","","","","","","","","","images/stimuli/complex_17_A_a.gif","","","","[0]","","","",""
"1659","{""Q0"":6}","survey-likert","126","209797","0.0-38.0","SS1630642817043","","","","","","","","","","","","images/stimuli/complex_15_A_a.gif","","","","[0]","","","",""
"1149.8999999761581","{""Q0"":2}","survey-likert","127","210954","0.0-39.0","SS1630642817043","","","","","","","","","","","","images/stimuli/simple_10_A_a.gif","","","","[0]","","","",""
