"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"","html-keyboard-response","71","673967","0.0-25.0-0.1","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","72","679973","0.0-25.0-1.1","SS1620597812510","null","","","null","","trial","","1000","1000","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","73","682276","0.0-25.0-0.2","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","74","688290","0.0-25.0-1.2","SS1620597812510","null","","","null","","trial","","1000","1000","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","75","690664","0.0-25.0-0.3","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","76","696670","0.0-25.0-1.3","SS1620597812510","null","","","null","","trial","","1000","1000","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","77","698735","0.0-25.0-0.4","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","78","704737","0.0-25.0-1.4","SS1620597812510","null","","","null","","trial","","1000","1000","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
"","html-keyboard-response","79","706819","0.0-25.0-0.5","SS1620597812510","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","80","712822","0.0-25.0-1.5","SS1620597812510","null","","","null","","trial","","1000","1000","6","4","Std","stimuli/images/spore_stims/simple_10_A.gif","right"
