"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"","stimuli-presentation","106","565929","0.0-29.0-1.2","SS1627326983998","","2092.099999964237","trial","","40","500","2592.099999964237","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_17_A_a.gif","",""
"","html-keyboard-response","107","567190","0.0-29.0-0.3","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","108","570447","0.0-29.0-1.3","SS1627326983998","","2748.199999988079","trial","","40","500","3248.199999988079","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_15_A_a.gif","",""
"","html-keyboard-response","109","571303","0.0-29.0-0.4","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","110","573088","0.0-29.0-1.4","SS1627326983998","","1294.0999999642372","trial","","40","500","1794.0999999642372","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_15_A_a.gif","",""
"","html-keyboard-response","111","574238","0.0-29.0-0.5","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","112","575678","0.0-29.0-1.5","SS1627326983998","","925.3000000119209","trial","","40","500","1425.300000011921","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_15_A_a.gif","",""
"","html-keyboard-response","113","576539","0.0-29.0-0.6","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","114","578423","0.0-29.0-1.6","SS1627326983998","","1373.5","trial","","40","500","1873.5","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_15_A_a.gif","",""
"","html-keyboard-response","115","579687","0.0-29.0-0.7","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","116","581047","0.0-29.0-1.7","SS1627326983998","","843.9000000357628","trial","","40","500","1343.9000000357628","images/stimuli/complex_17_A_a.gif","images/stimuli/complex_15_A_a.gif","forced_short","80","","","","","","6","complex_dissimilar","images/stimuli/complex_15_A_a.gif","",""
"","survey-multi-choice","117","586848","0.0-30.0","SS1627326983998","","5796.699999988079","memory_test","","","","","","","","","{""Q0"":""No""}","[0]","images/stimuli/complex_13_A_b.gif","6","","","","","",""
"","survey-multi-choice","118","589335","0.0-31.0","SS1627326983998","","2481.199999988079","memory_test","","","","","","","","","{""Q0"":""Yes""}","[0]","images/stimuli/complex_15_A_a.gif","6","","","","","",""
"","html-keyboard-response","119","590296","0.0-32.0-0.0","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","120","593352","0.0-32.0-1.0","SS1627326983998","","2085.399999976158","trial","","40","500","2585.399999976158","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_05_A_b.gif","",""
"","html-keyboard-response","121","594619","0.0-32.0-0.1","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","122","600608","0.0-32.0-1.1","SS1627326983998","","5482.699999988079","trial","","40","500","5982.699999988079","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_05_A_b.gif","",""
"","html-keyboard-response","123","601702","0.0-32.0-0.2","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
"","stimuli-presentation","124","605174","0.0-32.0-1.2","SS1627326983998","","2962.400000035763","trial","","40","500","3462.400000035763","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif","forced_short","960","","","","","","7","complex_dissimilar","images/stimuli/complex_01_A_a.gif","",""
"","html-keyboard-response","125","606050","0.0-32.0-0.3","SS1627326983998","","null","","","null","","","","","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","",""
