"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","432.31500033289194","sequential-stimulus-presentation","35","96257","0.0-11.0-1.4","SS1613079990976","trial","","40","800","1232.315000332892","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_A_a.gif","middle","","","","",""
"","null","html-keyboard-response","36","97225","0.0-11.0-0.5","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","243.6850001104176","sequential-stimulus-presentation","37","98276","0.0-11.0-1.5","SS1613079990976","trial","","40","800","1043.6850001104176","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","null","html-keyboard-response","38","99100","0.0-11.0-0.6","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","262.48000003397465","sequential-stimulus-presentation","39","100167","0.0-11.0-1.6","SS1613079990976","trial","","40","800","1062.4800000339746","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","null","html-keyboard-response","40","101324","0.0-11.0-0.7","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","701.3599998317659","sequential-stimulus-presentation","41","102830","0.0-11.0-1.7","SS1613079990976","trial","","40","800","1501.359999831766","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","5884.265000000596","html-keyboard-response","42","108719","0.0-12.0","SS1613079990976","pref_question","","49","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","1","","","","","","","",""
"","1821.7799998819828","sequential-stimulus-presentation","43","111347","0.0-13.0","SS1613079990976","pref_reveal","","40","800","2621.779999881983","null","null","","","","","1","","","","background","","","",""
"","null","html-keyboard-response","44","112203","0.0-14.0-0.0","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","114.37499988824129","sequential-stimulus-presentation","45","113126","0.0-14.0-1.0","SS1613079990976","trial","","40","800","914.3749998882413","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","html-keyboard-response","46","114067","0.0-14.0-0.1","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","541.0400000400841","sequential-stimulus-presentation","47","115418","0.0-14.0-1.1","SS1613079990976","trial","","40","800","1341.0400000400841","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","html-keyboard-response","48","116312","0.0-14.0-0.2","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","96.5699995867908","sequential-stimulus-presentation","49","117215","0.0-14.0-1.2","SS1613079990976","trial","","40","800","896.5699995867908","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","html-keyboard-response","50","118384","0.0-14.0-0.3","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","122.83500004559755","sequential-stimulus-presentation","51","119313","0.0-14.0-1.3","SS1613079990976","trial","","40","800","922.8350000455976","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","html-keyboard-response","52","120574","0.0-14.0-0.4","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","213.89500005170703","sequential-stimulus-presentation","53","121594","0.0-14.0-1.4","SS1613079990976","trial","","40","800","1013.895000051707","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_13_B_a.gif","middle","","","","",""
"","null","html-keyboard-response","54","122743","0.0-14.0-0.5","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","110.70000007748604","sequential-stimulus-presentation","55","123801","0.0-14.0-1.5","SS1613079990976","trial","","40","800","910.700000077486","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","html-keyboard-response","56","125053","0.0-14.0-0.6","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","467.9650003090501","sequential-stimulus-presentation","57","126330","0.0-14.0-1.6","SS1613079990976","trial","","40","800","1267.96500030905","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","html-keyboard-response","58","127207","0.0-14.0-0.7","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","395.8499999716878","sequential-stimulus-presentation","59","128408","0.0-14.0-1.7","SS1613079990976","trial","","40","800","1195.8499999716878","images/stimuli/spore_stims/complex_13_B_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif","","","","","2","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","0.599999912083149","html-keyboard-response","60","128417","0.0-15.0","SS1613079990976","pref_question","","49","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","2","","","","","","","",""
"","132.0999995805323","sequential-stimulus-presentation","61","129360","0.0-16.0","SS1613079990976","pref_reveal","","40","800","932.0999995805323","null","null","","","","","2","","","","novel","","","",""
"","null","html-keyboard-response","62","130323","0.0-17.0-0.0","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","635.6750000268221","sequential-stimulus-presentation","63","131789","0.0-17.0-1.0","SS1613079990976","trial","","40","800","1435.675000026822","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","64","132770","0.0-17.0-0.1","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","501.674999948591","sequential-stimulus-presentation","65","134078","0.0-17.0-1.1","SS1613079990976","trial","","40","800","1301.674999948591","images/stimuli/spore_stims/complex_18_A_d.gif","images/stimuli/spore_stims/complex_03_B_c.gif","","","","","3","complex_dissimilar","images/stimuli/spore_stims/complex_03_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","66","135045","0.0-17.0-0.2","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
