"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"","270.1849999721162","sequential-stimulus-presentation","47","77182","0.0-14.0-1.1","SS1613099237624","trial","","40","800","1070.1849999721162","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","null","html-keyboard-response","48","78238","0.0-14.0-0.2","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","365.3500000073109","sequential-stimulus-presentation","49","79417","0.0-14.0-1.2","SS1613099237624","trial","","40","800","1165.3500000073109","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","null","html-keyboard-response","50","80284","0.0-14.0-0.3","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","291.92999997758307","sequential-stimulus-presentation","51","81393","0.0-14.0-1.3","SS1613099237624","trial","","40","800","1091.929999977583","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","null","html-keyboard-response","52","82258","0.0-14.0-0.4","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","431.15999997826293","sequential-stimulus-presentation","53","83504","0.0-14.0-1.4","SS1613099237624","trial","","40","800","1231.159999978263","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_A_d.gif","middle",""
"","null","html-keyboard-response","54","84688","0.0-14.0-0.5","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","339.0499999804888","sequential-stimulus-presentation","55","85896","0.0-14.0-1.5","SS1613099237624","trial","","40","800","1139.0499999804888","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","null","html-keyboard-response","56","87019","0.0-14.0-0.6","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","339.36500002164394","sequential-stimulus-presentation","57","88170","0.0-14.0-1.6","SS1613099237624","trial","","40","800","1139.365000021644","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","null","html-keyboard-response","58","89242","0.0-14.0-0.7","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","622.6949999982025","sequential-stimulus-presentation","59","90677","0.0-14.0-1.7","SS1613099237624","trial","","40","800","1422.6949999982025","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","1567.9050000035204","html-keyboard-response","60","92251","0.0-15.0","SS1613099237624","pref_question","","49","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","2","","","",""
"","1782.760000001872","sequential-stimulus-presentation","61","94843","0.0-16.0","SS1613099237624","pref_reveal","","40","800","2582.760000001872","null","null","","","","","2","","","","novel"
"","null","html-keyboard-response","62","95996","0.0-17.0-0.0","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","432.5799999933224","sequential-stimulus-presentation","63","97248","0.0-17.0-1.0","SS1613099237624","trial","","40","800","1232.5799999933224","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","64","98528","0.0-17.0-0.1","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","532.9900000069756","sequential-stimulus-presentation","65","99877","0.0-17.0-1.1","SS1613099237624","trial","","40","800","1332.9900000069756","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","66","100934","0.0-17.0-0.2","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","377.1149999811314","sequential-stimulus-presentation","67","102129","0.0-17.0-1.2","SS1613099237624","trial","","40","800","1177.1149999811314","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","68","103379","0.0-17.0-0.3","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","269.0350000048056","sequential-stimulus-presentation","69","104466","0.0-17.0-1.3","SS1613099237624","trial","","40","800","1069.0350000048056","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","70","105644","0.0-17.0-0.4","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","432.3750000039581","sequential-stimulus-presentation","71","106895","0.0-17.0-1.4","SS1613099237624","trial","","40","800","1232.3750000039581","images/stimuli/spore_stims/simple_19_A_b.gif","images/stimuli/spore_stims/simple_11_B_c.gif","","","","","3","simple_dissimilar","images/stimuli/spore_stims/simple_11_B_c.gif","right",""
"","null","html-keyboard-response","72","107818","0.0-17.0-0.5","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
