"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","1227.5399999925867","pref_question","html-keyboard-response","335","752882","0.0-59.0","SS1611976444667","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","17","","","","","","",""
"","807.7100000809878","pref_reveal","sequential-stimulus-presentation","336","754682","0.0-60.0","SS1611976444667","","40","900","1707.7100000809878","","","","17","","","novel","","","",""
"","null","","html-keyboard-response","337","756067","0.0-61.0-0.0","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","367.7750000497326","trial","sequential-stimulus-presentation","338","757428","0.0-61.0-1.0","SS1611976444667","","40","900","1267.7750000497326","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","null","","html-keyboard-response","339","758550","0.0-61.0-0.1","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","339.06499994918704","trial","sequential-stimulus-presentation","340","759884","0.0-61.0-1.1","SS1611976444667","","40","900","1239.064999949187","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","null","","html-keyboard-response","341","760860","0.0-61.0-0.2","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","386.8800000054762","trial","sequential-stimulus-presentation","342","762243","0.0-61.0-1.2","SS1611976444667","","40","900","1286.8800000054762","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","null","","html-keyboard-response","343","763162","0.0-61.0-0.3","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","322.08499999251217","trial","sequential-stimulus-presentation","344","764479","0.0-61.0-1.3","SS1611976444667","","40","900","1222.0849999925122","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","null","","html-keyboard-response","345","765379","0.0-61.0-0.4","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","434.69499994535","trial","sequential-stimulus-presentation","346","766810","0.0-61.0-1.4","SS1611976444667","","40","900","1334.69499994535","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","null","","html-keyboard-response","347","768142","0.0-61.0-0.5","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","695.3300000168383","trial","sequential-stimulus-presentation","348","769834","0.0-61.0-1.5","SS1611976444667","","40","900","1595.3300000168383","","","","18","images/stimuli/spore_stims/simple_17_B_c.gif","middle","","","","",""
"","null","","html-keyboard-response","349","770932","0.0-61.0-0.6","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","339.3049999140203","trial","sequential-stimulus-presentation","350","772270","0.0-61.0-1.6","SS1611976444667","","40","900","1239.3049999140203","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","null","","html-keyboard-response","351","773620","0.0-61.0-0.7","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","284.2299999902025","trial","sequential-stimulus-presentation","352","774901","0.0-61.0-1.7","SS1611976444667","","40","900","1184.2299999902025","","","","18","images/stimuli/spore_stims/simple_17_A_c.gif","left","","","","",""
"","867.2200000146404","pref_question","html-keyboard-response","353","775859","0.0-62.0","SS1611976444667","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","18","","","","","","",""
"","1706.7249999381602","pref_reveal","sequential-stimulus-presentation","354","778561","0.0-63.0","SS1611976444667","","40","900","2606.72499993816","","","","18","","","novel","","","",""
"","null","","html-keyboard-response","355","779641","0.0-64.0-0.0","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","1411.1100001027808","trial","sequential-stimulus-presentation","356","782051","0.0-64.0-1.0","SS1611976444667","","40","900","2311.1100001027808","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","357","782968","0.0-64.0-0.1","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","829.5299999881536","trial","sequential-stimulus-presentation","358","784796","0.0-64.0-1.1","SS1611976444667","","40","900","1729.5299999881536","","","","19","images/stimuli/spore_stims/simple_02_A_d.gif","left","","","","",""
"","null","","html-keyboard-response","359","785862","0.0-64.0-0.2","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
