"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"","null","","html-keyboard-response","283","462402","0.0-52.0-0.0","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","5180.374999996275","trial","sequential-stimulus-presentation","284","468538","0.0-52.0-1.0","SS1611940976610","","40","900","6080.374999996275","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","285","469830","0.0-52.0-0.1","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","512.73499999661","trial","sequential-stimulus-presentation","286","471304","0.0-52.0-1.1","SS1611940976610","","40","900","1412.73499999661","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","287","472573","0.0-52.0-0.2","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","470.64499999396503","trial","sequential-stimulus-presentation","288","474002","0.0-52.0-1.2","SS1611940976610","","40","900","1370.644999993965","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","289","474861","0.0-52.0-0.3","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","523.1500000227243","trial","sequential-stimulus-presentation","290","476346","0.0-52.0-1.3","SS1611940976610","","40","900","1423.1500000227243","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
"","null","","html-keyboard-response","291","477589","0.0-52.0-0.4","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","594.4799999706447","trial","sequential-stimulus-presentation","292","479146","0.0-52.0-1.4","SS1611940976610","","40","900","1494.4799999706447","","","","15","images/stimuli/spore_stims/complex_15_B_b.gif","right",""
