"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","897.5400000017544","trial","sequential-stimulus-presentation","128","235938","0.0-25.0-1.6","SS1612117478452","","40","700","1597.5400000017544","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","null","","html-keyboard-response","129","237107","0.0-25.0-0.7","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","739.0549999981886","trial","sequential-stimulus-presentation","130","238554","0.0-25.0-1.7","SS1612117478452","","40","700","1439.0549999981886","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","1455.1350000001548","pref_question","html-keyboard-response","131","240013","0.0-26.0","SS1612117478452","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","6","","","","","","","",""
"","3722.5800000014715","pref_reveal","sequential-stimulus-presentation","132","244461","0.0-27.0","SS1612117478452","","40","700","4422.5800000014715","","","","6","","","","novel","","","",""
"","null","","html-keyboard-response","133","245562","0.0-28.0-0.0","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1721.785000001546","trial","sequential-stimulus-presentation","134","247990","0.0-28.0-1.0","SS1612117478452","","40","700","2421.785000001546","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","135","248884","0.0-28.0-0.1","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","427.1599999992759","trial","sequential-stimulus-presentation","136","250019","0.0-28.0-1.1","SS1612117478452","","40","700","1127.159999999276","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","137","250929","0.0-28.0-0.2","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","3065.7350000001315","trial","sequential-stimulus-presentation","138","254704","0.0-28.0-1.2","SS1612117478452","","40","700","3765.7350000001315","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","139","255923","0.0-28.0-0.3","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","677.8149999991001","trial","sequential-stimulus-presentation","140","257311","0.0-28.0-1.3","SS1612117478452","","40","700","1377.8149999991","","","","7","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","left","","","","",""
