"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","html-keyboard-response","210","349250","0.0-41.0-0.2","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","188.32000001566485","sequential-stimulus-presentation","211","350250","0.0-41.0-1.2","SS1613020801957","trial","","40","800","988.3200000156648","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","212","351376","0.0-41.0-0.3","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","130.89000002946705","sequential-stimulus-presentation","213","352325","0.0-41.0-1.3","SS1613020801957","trial","","40","800","930.890000029467","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","214","353621","0.0-41.0-0.4","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1636.339999968186","sequential-stimulus-presentation","215","356064","0.0-41.0-1.4","SS1613020801957","trial","","40","800","2436.339999968186","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_A_b.gif","right","","","","",""
"","null","html-keyboard-response","216","357128","0.0-41.0-0.5","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","546.9600000069477","sequential-stimulus-presentation","217","358485","0.0-41.0-1.5","SS1613020801957","trial","","40","800","1346.9600000069477","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","218","359443","0.0-41.0-0.6","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","379.2150000226684","sequential-stimulus-presentation","219","360632","0.0-41.0-1.6","SS1613020801957","trial","","40","800","1179.2150000226684","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","220","361683","0.0-41.0-0.7","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","503.19499999750406","sequential-stimulus-presentation","221","362996","0.0-41.0-1.7","SS1613020801957","trial","","40","800","1303.194999997504","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
"","1178.0699999653734","html-keyboard-response","222","364179","0.0-42.0","SS1613020801957","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","11","","","","","","","",""
"","815.7549999887124","sequential-stimulus-presentation","223","365803","0.0-43.0","SS1613020801957","pref_reveal","","40","800","1615.7549999887124","","","","","11","","","","novel","","","",""
"","null","html-keyboard-response","224","366891","0.0-44.0-0.0","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","844.3550000083633","sequential-stimulus-presentation","225","368543","0.0-44.0-1.0","SS1613020801957","trial","","40","800","1644.3550000083633","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","null","html-keyboard-response","226","369755","0.0-44.0-0.1","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","734.7249999875203","sequential-stimulus-presentation","227","371296","0.0-44.0-1.1","SS1613020801957","trial","","40","800","1534.7249999875203","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","null","html-keyboard-response","228","372597","0.0-44.0-0.2","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","3655.864999978803","sequential-stimulus-presentation","229","377067","0.0-44.0-1.2","SS1613020801957","trial","","40","800","4455.864999978803","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","null","html-keyboard-response","230","378157","0.0-44.0-0.3","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","646.3050000020303","sequential-stimulus-presentation","231","379617","0.0-44.0-1.3","SS1613020801957","trial","","40","800","1446.3050000020303","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","null","html-keyboard-response","232","380698","0.0-44.0-0.4","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","182.91500001214445","sequential-stimulus-presentation","233","381686","0.0-44.0-1.4","SS1613020801957","trial","","40","800","982.9150000121444","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","null","html-keyboard-response","234","382809","0.0-44.0-0.5","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","453.2400000025518","sequential-stimulus-presentation","235","384077","0.0-44.0-1.5","SS1613020801957","trial","","40","800","1253.2400000025518","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","null","html-keyboard-response","236","385280","0.0-44.0-0.6","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","220.5299999914132","sequential-stimulus-presentation","237","386309","0.0-44.0-1.6","SS1613020801957","trial","","40","800","1020.5299999914132","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_19_B_c.gif","left","","","","",""
"","null","html-keyboard-response","238","387132","0.0-44.0-0.7","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","199.30500001646578","sequential-stimulus-presentation","239","388141","0.0-44.0-1.7","SS1613020801957","trial","","40","800","999.3050000164658","","","","","12","simple_dissimilar","images/stimuli/spore_stims/simple_10_B_c.gif","right","","","","",""
"","964.0849999850616","html-keyboard-response","240","389110","0.0-45.0","SS1613020801957","pref_question","","49","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","12","","","","","","","",""
"","334.04499996686354","sequential-stimulus-presentation","241","390255","0.0-46.0","SS1613020801957","pref_reveal","","40","800","1134.0449999668635","","","","","12","","","","deviant","","","",""
"","null","html-keyboard-response","242","391381","0.0-47.0-0.0","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","478.2450000056997","sequential-stimulus-presentation","243","392671","0.0-47.0-1.0","SS1613020801957","trial","","40","800","1278.2450000056997","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","null","html-keyboard-response","244","393555","0.0-47.0-0.1","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","139.6950000198558","sequential-stimulus-presentation","245","394506","0.0-47.0-1.1","SS1613020801957","trial","","40","800","939.6950000198558","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","null","html-keyboard-response","246","395777","0.0-47.0-0.2","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","296.5649999678135","sequential-stimulus-presentation","247","396884","0.0-47.0-1.2","SS1613020801957","trial","","40","800","1096.5649999678135","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","null","html-keyboard-response","248","398142","0.0-47.0-0.3","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","229.18500000378117","sequential-stimulus-presentation","249","399183","0.0-47.0-1.3","SS1613020801957","trial","","40","800","1029.1850000037812","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","null","html-keyboard-response","250","400118","0.0-47.0-0.4","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","341.3899999577552","sequential-stimulus-presentation","251","401273","0.0-47.0-1.4","SS1613020801957","trial","","40","800","1141.3899999577552","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","null","html-keyboard-response","252","402277","0.0-47.0-0.5","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","543.4499999973923","sequential-stimulus-presentation","253","403632","0.0-47.0-1.5","SS1613020801957","trial","","40","800","1343.4499999973923","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_10_A_b.gif","right","","","","",""
"","null","html-keyboard-response","254","404838","0.0-47.0-0.6","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","343.6900000087917","sequential-stimulus-presentation","255","405992","0.0-47.0-1.6","SS1613020801957","trial","","40","800","1143.6900000087917","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","null","html-keyboard-response","256","407209","0.0-47.0-0.7","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","224.64999998919666","sequential-stimulus-presentation","257","408247","0.0-47.0-1.7","SS1613020801957","trial","","40","800","1024.6499999891967","","","","","13","simple_dissimilar","images/stimuli/spore_stims/simple_13_A_a.gif","left","","","","",""
"","1193.024999985937","html-keyboard-response","258","409448","0.0-48.0","SS1613020801957","pref_question","","51","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","13","","","","","","","",""
"","340.9899999969639","sequential-stimulus-presentation","259","410600","0.0-49.0","SS1613020801957","pref_reveal","","40","800","1140.989999996964","","","","","13","","","","deviant","","","",""
"","null","html-keyboard-response","260","411430","0.0-50.0-0.0","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","205.93499997630715","sequential-stimulus-presentation","261","412447","0.0-50.0-1.0","SS1613020801957","trial","","40","800","1005.9349999763072","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","null","html-keyboard-response","262","413601","0.0-50.0-0.1","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","374.30500000482425","sequential-stimulus-presentation","263","414798","0.0-50.0-1.1","SS1613020801957","trial","","40","800","1174.3050000048243","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","null","html-keyboard-response","264","415871","0.0-50.0-0.2","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","20.06999996956438","sequential-stimulus-presentation","265","416702","0.0-50.0-1.2","SS1613020801957","trial","","40","800","820.0699999695644","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","null","html-keyboard-response","266","417683","0.0-50.0-0.3","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","498.25000000419095","sequential-stimulus-presentation","267","418992","0.0-50.0-1.3","SS1613020801957","trial","","40","800","1298.250000004191","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","null","html-keyboard-response","268","420177","0.0-50.0-0.4","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","300.14000000664964","sequential-stimulus-presentation","269","421288","0.0-50.0-1.4","SS1613020801957","trial","","40","800","1100.1400000066496","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","null","html-keyboard-response","270","422134","0.0-50.0-0.5","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","405.02499998547137","sequential-stimulus-presentation","271","423353","0.0-50.0-1.5","SS1613020801957","trial","","40","800","1205.0249999854714","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","null","html-keyboard-response","272","424298","0.0-50.0-0.6","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","455.3349999478087","sequential-stimulus-presentation","273","425565","0.0-50.0-1.6","SS1613020801957","trial","","40","800","1255.3349999478087","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","274","426561","0.0-50.0-0.7","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","520.394999999553","sequential-stimulus-presentation","275","427904","0.0-50.0-1.7","SS1613020801957","trial","","40","800","1320.394999999553","","","","","14","complex_similar","images/stimuli/spore_stims/complex_18_A_b.gif","left","","","","",""
"","1328.2900000340305","html-keyboard-response","276","429240","0.0-51.0","SS1613020801957","pref_question","","50","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","14","","","","","","","",""
"","1367.3950000084005","sequential-stimulus-presentation","277","431417","0.0-52.0","SS1613020801957","pref_reveal","","40","800","2167.3950000084005","","","","","14","","","","deviant","","","",""
"","null","html-keyboard-response","278","432662","0.0-53.0-0.0","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
