subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619125642562,1,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_17_A,37,self_paced,first half,2,first_deviant,4,6
SS1619125642562,1,complex_dissimilar,5,background,background,complex,complex_11_A,2597,self_paced,first half,2,background,4,6
SS1619125642562,1,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_17_A,4448,self_paced,first half,2,second_deviant,4,6
SS1619125642562,2,complex_dissimilar,1,background,background,complex,complex_06_A,1644,self_paced,first half,1,background,6,NA
SS1619125642562,2,complex_dissimilar,2,background,background,complex,complex_06_A,22330,self_paced,first half,1,background,6,NA
SS1619125642562,2,complex_dissimilar,3,background,background,complex,complex_06_A,14236,self_paced,first half,1,background,6,NA
SS1619125642562,2,complex_dissimilar,4,background,background,complex,complex_06_A,8906,self_paced,first half,1,background,6,NA
SS1619125642562,2,complex_dissimilar,5,background,background,complex,complex_06_A,1034,self_paced,first half,1,background,6,NA
SS1619125642562,2,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_04_A,2790,self_paced,first half,1,first_deviant,6,NA
SS1619125642562,3,simple_dissimilar,1,background,background,simple,simple_20_A,612,forced_long,first half,2,background,4,6
SS1619125642562,3,simple_dissimilar,2,background,background,simple,simple_20_A,977,forced_long,first half,2,background,4,6
SS1619125642562,3,simple_dissimilar,3,background,background,simple,simple_20_A,2336,forced_long,first half,2,background,4,6
SS1619125642562,3,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_12_A,8884,forced_long,first half,2,first_deviant,4,6
SS1619125642562,3,simple_dissimilar,5,background,background,simple,simple_20_A,6185,forced_long,first half,2,background,4,6
SS1619125642562,3,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_12_A,5616,forced_long,first half,2,second_deviant,4,6
SS1619125642562,4,simple_dissimilar,1,background,background,simple,simple_18_A,4477,self_paced,first half,0,background,NA,NA
SS1619125642562,4,simple_dissimilar,2,background,background,simple,simple_18_A,378,self_paced,first half,0,background,NA,NA
SS1619125642562,4,simple_dissimilar,3,background,background,simple,simple_18_A,5104,self_paced,first half,0,background,NA,NA
SS1619125642562,4,simple_dissimilar,4,background,background,simple,simple_18_A,2457,self_paced,first half,0,background,NA,NA
SS1619125642562,5,complex_dissimilar,1,background,background,complex,complex_13_A,13486,forced_long,first half,1,background,4,NA
SS1619125642562,5,complex_dissimilar,2,background,background,complex,complex_13_A,25597,forced_long,first half,1,background,4,NA
SS1619125642562,5,complex_dissimilar,3,background,background,complex,complex_13_A,3461,forced_long,first half,1,background,4,NA
SS1619125642562,5,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_20_A,11532,forced_long,first half,1,first_deviant,4,NA
SS1619125642562,5,complex_dissimilar,5,background,background,complex,complex_13_A,11107,forced_long,first half,1,background,4,NA
SS1619125642562,6,complex_dissimilar,1,background,background,complex,complex_16_A,901,forced_short,second half,1,background,2,NA
SS1619125642562,6,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_12_A,6125,forced_short,second half,1,first_deviant,2,NA
SS1619125642562,6,complex_dissimilar,3,background,background,complex,complex_16_A,5985,forced_short,second half,1,background,2,NA
SS1619125642562,6,complex_dissimilar,4,background,background,complex,complex_16_A,5644,forced_short,second half,1,background,2,NA
SS1619125642562,6,complex_dissimilar,5,background,background,complex,complex_16_A,15609,forced_short,second half,1,background,2,NA
SS1619125642562,6,complex_dissimilar,6,background,background,complex,complex_16_A,4262,forced_short,second half,1,background,2,NA
SS1619125642562,7,simple_dissimilar,1,background,background,simple,simple_14_A,5957,forced_short,second half,2,background,2,5
SS1619125642562,7,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_02_A,5087,forced_short,second half,2,first_deviant,2,5
SS1619125642562,7,simple_dissimilar,3,background,background,simple,simple_14_A,14291,forced_short,second half,2,background,2,5
SS1619125642562,7,simple_dissimilar,4,background,background,simple,simple_14_A,92,forced_short,second half,2,background,2,5
SS1619125642562,7,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_02_A,712,forced_short,second half,2,second_deviant,2,5
SS1619125642562,8,complex_dissimilar,1,background,background,complex,complex_14_A,8849,forced_short,second half,2,background,2,4
SS1619125642562,8,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_19_A,562,forced_short,second half,2,first_deviant,2,4
SS1619125642562,8,complex_dissimilar,3,background,background,complex,complex_14_A,185,forced_short,second half,2,background,2,4
SS1619125642562,8,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_19_A,349,forced_short,second half,2,second_deviant,2,4
SS1619125642562,9,simple_dissimilar,1,background,background,simple,simple_18_A,167,forced_long,second half,1,background,4,NA
SS1619125642562,9,simple_dissimilar,2,background,background,simple,simple_18_A,508,forced_long,second half,1,background,4,NA
SS1619125642562,9,simple_dissimilar,3,background,background,simple,simple_18_A,14972,forced_long,second half,1,background,4,NA
SS1619125642562,9,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_01_A,50,forced_long,second half,1,first_deviant,4,NA
SS1619125642562,9,simple_dissimilar,5,background,background,simple,simple_18_A,291,forced_long,second half,1,background,4,NA
SS1619125642562,9,simple_dissimilar,6,background,background,simple,simple_18_A,507,forced_long,second half,1,background,4,NA
SS1619125642562,10,simple_dissimilar,1,background,background,simple,simple_14_A,1510,self_paced,second half,0,background,NA,NA
SS1619125642562,10,simple_dissimilar,2,background,background,simple,simple_14_A,2228,self_paced,second half,0,background,NA,NA
SS1619125642562,10,simple_dissimilar,3,background,background,simple,simple_14_A,420,self_paced,second half,0,background,NA,NA
SS1619125642562,10,simple_dissimilar,4,background,background,simple,simple_14_A,491,self_paced,second half,0,background,NA,NA
SS1619125642562,11,simple_dissimilar,1,background,background,simple,simple_02_A,191,forced_short,second half,1,background,5,NA
SS1619125642562,11,simple_dissimilar,2,background,background,simple,simple_02_A,116,forced_short,second half,1,background,5,NA
SS1619125642562,11,simple_dissimilar,3,background,background,simple,simple_02_A,164,forced_short,second half,1,background,5,NA
SS1619125642562,11,simple_dissimilar,4,background,background,simple,simple_02_A,637,forced_short,second half,1,background,5,NA
SS1619125642562,11,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_15_A,382,forced_short,second half,1,first_deviant,5,NA
SS1619204435390,0,simple_dissimilar,1,background,background,simple,simple_14_A,15147.870000102557,self_paced,first half,1,background,2,NA
SS1619204435390,0,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_11_A,7806.8249999778345,self_paced,first half,1,first_deviant,2,NA
SS1619204435390,0,simple_dissimilar,3,background,background,simple,simple_14_A,7204.899999895133,self_paced,first half,1,background,2,NA
SS1619204435390,0,simple_dissimilar,4,background,background,simple,simple_14_A,9084.41499993205,self_paced,first half,1,background,2,NA
SS1619204435390,0,simple_dissimilar,5,background,background,simple,simple_14_A,9191.170000005513,self_paced,first half,1,background,2,NA
SS1619204435390,0,simple_dissimilar,6,background,background,simple,simple_14_A,5875.405000057071,self_paced,first half,1,background,2,NA
SS1619204435390,1,simple_dissimilar,1,background,background,simple,simple_17_A,6381.120000034571,self_paced,first half,2,background,3,6
SS1619204435390,1,simple_dissimilar,2,background,background,simple,simple_17_A,10237.490000086837,self_paced,first half,2,background,3,6
SS1619204435390,1,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_10_A,6808.760000043549,self_paced,first half,2,first_deviant,3,6
SS1619204435390,1,simple_dissimilar,4,background,background,simple,simple_17_A,7174.77499996312,self_paced,first half,2,background,3,6
SS1619204435390,1,simple_dissimilar,5,background,background,simple,simple_17_A,6403.430000063963,self_paced,first half,2,background,3,6
SS1619204435390,1,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_10_A,6625.755000044592,self_paced,first half,2,second_deviant,3,6
SS1619204435390,2,simple_dissimilar,1,background,background,simple,simple_09_A,2831.2049999367446,forced_short,first half,1,background,3,NA
SS1619204435390,2,simple_dissimilar,2,background,background,simple,simple_09_A,7778.284999891184,forced_short,first half,1,background,3,NA
SS1619204435390,2,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_17_A,5591.259999899194,forced_short,first half,1,first_deviant,3,NA
SS1619204435390,2,simple_dissimilar,4,background,background,simple,simple_09_A,6433.86999994982,forced_short,first half,1,background,3,NA
SS1619204435390,2,simple_dissimilar,5,background,background,simple,simple_09_A,6221.740000066347,forced_short,first half,1,background,3,NA
SS1619204435390,2,simple_dissimilar,6,background,background,simple,simple_09_A,6426.12000007648,forced_short,first half,1,background,3,NA
SS1619204435390,3,simple_dissimilar,1,background,background,simple,simple_19_A,1018.7000000150874,forced_long,first half,1,background,4,NA
SS1619204435390,3,simple_dissimilar,2,background,background,simple,simple_19_A,7811.199999996461,forced_long,first half,1,background,4,NA
SS1619204435390,3,simple_dissimilar,3,background,background,simple,simple_19_A,7326.914999983273,forced_long,first half,1,background,4,NA
SS1619204435390,3,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_01_A,7469.889999949373,forced_long,first half,1,first_deviant,4,NA
SS1619204435390,4,simple_dissimilar,1,background,background,simple,simple_07_A,1472.1000000135973,forced_short,first half,2,background,2,3
SS1619204435390,4,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_02_A,4126.954999985173,forced_short,first half,2,first_deviant,2,3
SS1619204435390,4,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_02_A,6079.165000002831,forced_short,first half,2,second_deviant,2,3
SS1619204435390,4,simple_dissimilar,4,background,background,simple,simple_07_A,4105.03500001505,forced_short,first half,2,background,2,3
SS1619204435390,4,simple_dissimilar,5,background,background,simple,simple_07_A,4545.925000100397,forced_short,first half,2,background,2,3
SS1619204435390,4,simple_dissimilar,6,background,background,simple,simple_07_A,5434.750000014901,forced_short,first half,2,background,2,3
SS1619204435390,5,complex_dissimilar,1,background,background,complex,complex_14_A,645.479999948293,forced_long,first half,0,background,NA,NA
SS1619204435390,5,complex_dissimilar,2,background,background,complex,complex_14_A,8873.13500000164,forced_long,first half,0,background,NA,NA
SS1619204435390,5,complex_dissimilar,3,background,background,complex,complex_14_A,6164.599999901839,forced_long,first half,0,background,NA,NA
SS1619204435390,5,complex_dissimilar,4,background,background,complex,complex_14_A,5775.739999953657,forced_long,first half,0,background,NA,NA
SS1619204435390,5,complex_dissimilar,5,background,background,complex,complex_14_A,9269.195000058971,forced_long,first half,0,background,NA,NA
SS1619204435390,6,complex_dissimilar,1,background,background,complex,complex_19_A,737.6050000311807,forced_short,second half,2,background,5,6
SS1619204435390,6,complex_dissimilar,2,background,background,complex,complex_19_A,3409.8249999806285,forced_short,second half,2,background,5,6
SS1619204435390,6,complex_dissimilar,3,background,background,complex,complex_19_A,9592.289999942295,forced_short,second half,2,background,5,6
SS1619204435390,6,complex_dissimilar,4,background,background,complex,complex_19_A,4748.400000040419,forced_short,second half,2,background,5,6
SS1619204435390,6,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_06_A,6356.870000017807,forced_short,second half,2,first_deviant,5,6
SS1619204435390,6,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_06_A,2826.545000076294,forced_short,second half,2,second_deviant,5,6
SS1619204435390,7,complex_dissimilar,1,background,background,complex,complex_03_A,755.3400000324473,forced_long,second half,2,background,4,6
SS1619204435390,7,complex_dissimilar,2,background,background,complex,complex_03_A,6104.799999971874,forced_long,second half,2,background,4,6
SS1619204435390,7,complex_dissimilar,3,background,background,complex,complex_03_A,3326.420000055805,forced_long,second half,2,background,4,6
SS1619204435390,7,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_01_A,4301.1549999937415,forced_long,second half,2,first_deviant,4,6
SS1619204435390,7,complex_dissimilar,5,background,background,complex,complex_03_A,4026.465000002645,forced_long,second half,2,background,4,6
SS1619204435390,7,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_01_A,8702.370000071824,forced_long,second half,2,second_deviant,4,6
SS1619204435390,8,complex_dissimilar,1,background,background,complex,complex_12_A,5018.135000020266,self_paced,second half,0,background,NA,NA
SS1619204435390,8,complex_dissimilar,2,background,background,complex,complex_12_A,4422.724999953061,self_paced,second half,0,background,NA,NA
SS1619204435390,8,complex_dissimilar,3,background,background,complex,complex_12_A,5006.885000038892,self_paced,second half,0,background,NA,NA
SS1619204435390,8,complex_dissimilar,4,background,background,complex,complex_12_A,4447.825000039302,self_paced,second half,0,background,NA,NA
SS1619204435390,8,complex_dissimilar,5,background,background,complex,complex_12_A,4969.6299999486655,self_paced,second half,0,background,NA,NA
SS1619204435390,9,complex_dissimilar,1,background,background,complex,complex_19_A,1500.884999986738,forced_short,second half,0,background,NA,NA
SS1619204435390,9,complex_dissimilar,2,background,background,complex,complex_19_A,3708.6850000778213,forced_short,second half,0,background,NA,NA
SS1619204435390,9,complex_dissimilar,3,background,background,complex,complex_19_A,6499.225000035949,forced_short,second half,0,background,NA,NA
SS1619204435390,9,complex_dissimilar,4,background,background,complex,complex_19_A,5742.8550000768155,forced_short,second half,0,background,NA,NA
SS1619204435390,9,complex_dissimilar,5,background,background,complex,complex_19_A,7470.00999993179,forced_short,second half,0,background,NA,NA
SS1619204435390,10,complex_dissimilar,1,background,background,complex,complex_04_A,6674.014999996871,self_paced,second half,1,background,3,NA
SS1619204435390,10,complex_dissimilar,2,background,background,complex,complex_04_A,3896.4299999643117,self_paced,second half,1,background,3,NA
SS1619204435390,10,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_03_A,12320.149999926798,self_paced,second half,1,first_deviant,3,NA
SS1619204435390,10,complex_dissimilar,4,background,background,complex,complex_04_A,4458.159999921918,self_paced,second half,1,background,3,NA
SS1619204435390,10,complex_dissimilar,5,background,background,complex,complex_04_A,3307.574999984354,self_paced,second half,1,background,3,NA
SS1619204435390,11,simple_dissimilar,1,background,background,simple,simple_20_A,4129.3050000676885,forced_long,second half,1,background,3,NA
SS1619204435390,11,simple_dissimilar,2,background,background,simple,simple_20_A,9025.604999973439,forced_long,second half,1,background,3,NA
SS1619204435390,11,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_02_A,5770.9250000771135,forced_long,second half,1,first_deviant,3,NA
SS1619204435390,11,simple_dissimilar,4,background,background,simple,simple_20_A,3733.3850000286475,forced_long,second half,1,background,3,NA
SS1619204435390,11,simple_dissimilar,5,background,background,simple,simple_20_A,3002.059999969788,forced_long,second half,1,background,3,NA
SS1619204697535,0,complex_dissimilar,1,background,background,complex,complex_09_A,38974.43999996176,self_paced,first half,2,background,4,5
SS1619204697535,0,complex_dissimilar,2,background,background,complex,complex_09_A,24049.34999998659,self_paced,first half,2,background,4,5
SS1619204697535,0,complex_dissimilar,3,background,background,complex,complex_09_A,40259.39500000095,self_paced,first half,2,background,4,5
SS1619204697535,0,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_16_A,36044.57500000717,self_paced,first half,2,first_deviant,4,5
SS1619204697535,0,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_16_A,21560.91000000015,self_paced,first half,2,second_deviant,4,5
