"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","trial_stimulus","minimum_viewing_duration","trial_looking_time","condition_num","block_number","block_type","stimulus_displayed","position_displayed"
"","sequential-stimulus-presentation","26","416545","0.0-16.0-1.1","SS1619186552889","null","","","null","","trial","","1000","1000","5","1","Std","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","27","417187","0.0-16.0-0.2","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","28","423192","0.0-16.0-1.2","SS1619186552889","null","","","null","","trial","","1000","1000","5","1","Std","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","29","425340","0.0-16.0-0.3","SS1619186552889","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","30","445800","0.0-16.0-1.3","SS1619186552889","41488.769999938086","","","40","","trial","","1000","42488.769999938086","5","1","Std","stimuli/images/spore_stims/simple_02_A.gif","left"
"","html-keyboard-response","31","446587","0.0-17.0","SS1619186552889","785.3749999776483","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","32","451253","0.0-18.0","SS1619186552889","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","33","452872","0.0-19.0-0.0","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","34","458877","0.0-19.0-1.0","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","35","460570","0.0-19.0-0.1","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","36","466578","0.0-19.0-1.1","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","37","467143","0.0-19.0-0.2","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","38","473148","0.0-19.0-1.2","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","39","474985","0.0-19.0-0.3","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","40","480991","0.0-19.0-1.3","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","41","482585","0.0-19.0-0.4","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","42","488589","0.0-19.0-1.4","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","43","490651","0.0-19.0-0.5","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","44","496656","0.0-19.0-1.5","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","45","498930","0.0-19.0-0.6","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","46","504937","0.0-19.0-1.6","SS1619186552889","null","","","null","","trial","","1000","1000","5","2","Dev","stimuli/images/spore_stims/simple_08_A.gif","right"
"","html-keyboard-response","47","506381","0.0-19.0-0.7","SS1619186552889","null","","<p><img src=stimuli/images/blank_test.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","48","521332","0.0-19.0-1.7","SS1619186552889","67459.4550000038","","","40","","trial","","1000","68459.4550000038","5","2","Dev","stimuli/images/spore_stims/simple_07_A.gif","left"
"","html-keyboard-response","49","522006","0.0-20.0","SS1619186552889","672.3600002005696","","<p><img src=""stimuli/images/attngetter_blank.png"" width =""640"" height = ""490"" ></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","50","526661","0.0-21.0","SS1619186552889","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","html-keyboard-response","51","527310","0.0-22.0-0.0","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","52","533316","0.0-22.0-1.0","SS1619186552889","null","","","null","","trial","","1000","1000","5","3","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","53","535238","0.0-22.0-0.1","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
"","sequential-stimulus-presentation","54","541243","0.0-22.0-1.1","SS1619186552889","null","","","null","","trial","","1000","1000","5","3","Dev","stimuli/images/spore_stims/simple_11_A.gif","right"
"","html-keyboard-response","55","543636","0.0-22.0-0.2","SS1619186552889","null","","<p><img src=stimuli/images/blank_fam.png width =""200"" height = ""200"" style=""position:absolute;left:85%""></p><p><img src= stimuli/images/blank.png width =""650"" height = ""650"" style=""border:5px solid black""></p>","null","","","","","","","","","",""
