subject,block_number,block_type,forced_exposure_time,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1646459697010,4,complex,10000,memory,4,6,background,1365.699999999255,images/stimuli/complex_03_A_a.gif,memory_background,TRUE
SS1646459697010,5,complex,10000,memory,NA,1,background,10000,images/stimuli/complex_20_A_a.gif,memory_novel,FALSE
SS1646459697010,5,complex,10000,memory,NA,2,background,12506.20000000298,images/stimuli/complex_20_A_a.gif,memory_background,TRUE
SS1646459697010,5,complex,10000,memory,NA,3,background,1857.5,images/stimuli/complex_20_A_a.gif,memory_background,TRUE
SS1646459697010,5,complex,10000,memory,NA,4,background,639.9000000022352,images/stimuli/complex_20_A_a.gif,memory_background,TRUE
SS1646459697010,5,complex,10000,memory,NA,5,background,1494.9000000022352,images/stimuli/complex_20_A_a.gif,memory_background,TRUE
SS1646459697010,5,complex,10000,memory,NA,6,background,1525.4000000022352,images/stimuli/complex_20_A_a.gif,memory_background,TRUE
SS1646459697010,6,complex,500,memory,NA,1,background,500,images/stimuli/complex_19_A_a.gif,memory_novel,FALSE
SS1646459697010,6,complex,500,memory,NA,2,background,5201.89999999851,images/stimuli/complex_19_A_a.gif,memory_background,TRUE
SS1646459697010,6,complex,500,memory,NA,3,background,4621.099999997765,images/stimuli/complex_19_A_a.gif,memory_background,TRUE
SS1646459697010,6,complex,500,memory,NA,4,background,3007.199999999255,images/stimuli/complex_19_A_a.gif,memory_background,TRUE
SS1646459697010,6,complex,500,memory,NA,5,background,2509.89999999851,images/stimuli/complex_19_A_a.gif,memory_background,TRUE
SS1646459697010,6,complex,500,memory,NA,6,background,1763.4000000022352,images/stimuli/complex_19_A_a.gif,memory_background,TRUE
SS1646459697010,7,simple,10000,memory,6,1,background,10000,images/stimuli/simple_07_A_a.gif,memory_novel,FALSE
SS1646459697010,7,simple,10000,memory,6,2,background,4142.699999999255,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697010,7,simple,10000,memory,6,3,background,3844,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697010,7,simple,10000,memory,6,4,background,4539.300000000745,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697010,7,simple,10000,memory,6,5,background,1395.699999999255,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
SS1646459697010,7,simple,10000,memory,6,6,deviant,5669,images/stimuli/simple_02_A_a.gif,memory_background,TRUE
SS1646459697010,8,complex,500,memory,4,1,background,500,images/stimuli/complex_12_A_a.gif,memory_novel,TRUE
SS1646459697010,8,complex,500,memory,4,2,background,6271.5,images/stimuli/complex_12_A_a.gif,memory_novel,TRUE
SS1646459697010,8,complex,500,memory,4,3,background,878.8000000007451,images/stimuli/complex_12_A_a.gif,memory_novel,TRUE
SS1646459697010,8,complex,500,memory,4,4,deviant,4072.300000000745,images/stimuli/complex_13_A_a.gif,memory_novel,TRUE
SS1646459697010,8,complex,500,memory,4,5,background,2507.800000000745,images/stimuli/complex_12_A_a.gif,memory_novel,TRUE
SS1646459697010,8,complex,500,memory,4,6,background,704.0999999977648,images/stimuli/complex_12_A_a.gif,memory_novel,TRUE
SS1646459697109,1,complex,10000,memory,6,1,background,10000,images/stimuli/complex_10_A_a.gif,memory_novel,TRUE
SS1646459697109,1,complex,10000,memory,6,2,background,11084.400000002235,images/stimuli/complex_10_A_a.gif,memory_novel,TRUE
SS1646459697109,1,complex,10000,memory,6,3,background,9507.300000000745,images/stimuli/complex_10_A_a.gif,memory_novel,TRUE
SS1646459697109,1,complex,10000,memory,6,4,background,8665,images/stimuli/complex_10_A_a.gif,memory_novel,TRUE
SS1646459697109,1,complex,10000,memory,6,5,background,7532.79999999702,images/stimuli/complex_10_A_a.gif,memory_novel,TRUE
SS1646459697109,1,complex,10000,memory,6,6,deviant,8910.199999999255,images/stimuli/complex_20_A_a.gif,memory_novel,TRUE
SS1646459697109,2,simple,500,memory,NA,1,background,500,images/stimuli/simple_07_A_a.gif,memory_novel,FALSE
SS1646459697109,2,simple,500,memory,NA,2,background,3967.199999999255,images/stimuli/simple_07_A_a.gif,memory_background,TRUE
