"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"976.4000000059605","","stimuli-presentation","108","236843","0.0-45.0-1.4","SS1646459694618","","","trial","","40","","500","1476.4000000059605","images/stimuli/complex_08_A_a.gif","images/stimuli/complex_09_A_a.gif","self-paced","500","6","complex","500","images/stimuli/complex_09_A_a.gif","","",""
"2405.699999988079","{""Q0"":""Yes""}","survey-multi-choice","109","239251","0.0-46.0","SS1646459694618","","","memory_test","","","","","","","","","","","","","","[0]","images/stimuli/complex_09_A_a.gif","6"
"null","","html-keyboard-response","110","240262","0.0-47.0","SS1646459694618","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","111","240765","0.0-48.0","SS1646459694618","","","","","null","","500","500","null","null","forced","500","","","","","","",""
"null","","html-keyboard-response","112","241781","0.0-49.0","SS1646459694618","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","113","242769","0.0-50.0-0.0","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"3422.4000000059605","","stimuli-presentation","114","244187","0.0-50.0-1.0","SS1646459694618","","","trial","","40","","500","3922.4000000059605","null","null","forced","500","7","simple","500","images/stimuli/simple_03_A_a.gif","","",""
"null","","html-keyboard-response","115","245424","0.0-50.0-0.1","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"1436.2000000178814","","stimuli-presentation","116","247364","0.0-50.0-1.1","SS1646459694618","","","trial","","40","","500","1936.2000000178814","images/stimuli/simple_03_A_a.gif","images/stimuli/simple_12_A_a.gif","self-paced","500","7","simple","500","images/stimuli/simple_12_A_a.gif","","",""
"null","","html-keyboard-response","117","248418","0.0-50.0-0.2","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
