success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,subject_num,condition_num,block_number,stimulus_displayed,response,question_order
,video-keyboard-response,19,460739,0.0-19.0,SS1688743048533,46235.10000002380,,"[""stimuli/images/unity_stims/animate_06_right_pair_new.mp4""]",32,,trial,19,6,3,stimuli/images/unity_stims/animate_06_right_pair_new.mp4,,
,html-keyboard-response,20,461171,0.0-20.0,SS1688743048533,431.10000002384200,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",32,,between_block,,,,,,
,video-keyboard-response,21,465852,0.0-21.0,SS1688743048533,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,
,video-keyboard-response,22,486946,0.0-22.0,SS1688743048533,21091.700000047700,,"[""stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4""]",32,,trial,19,6,4,stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4,,
,html-keyboard-response,23,487657,0.0-23.0,SS1688743048533,709.9000000953670,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",32,,between_block,,,,,,
,video-keyboard-response,24,492321,0.0-24.0,SS1688743048533,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,
,video-keyboard-response,25,552576,0.0-25.0,SS1688743048533,null,,"[""stimuli/images/unity_stims/animate_04_right_single_new.mp4""]",null,,trial,19,6,5,stimuli/images/unity_stims/animate_04_right_single_new.mp4,,
,html-keyboard-response,26,553943,0.0-26.0,SS1688743048533,1365.7000000476800,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",32,,between_block,,,,,,
,video-keyboard-response,27,558609,0.0-27.0,SS1688743048533,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,
,video-keyboard-response,28,618807,0.0-28.0,SS1688743048533,null,,"[""stimuli/images/unity_stims/animate_05_left_pair_new.mp4""]",null,,trial,19,6,6,stimuli/images/unity_stims/animate_05_left_pair_new.mp4,,
,video-keyboard-response,29,641942,0.0-29.0,SS1688743048533,null,,"[""stimuli/images/calibration_end.mp4""]",null,,calibration_end,,,,,,
,html-keyboard-response,30,667928,0.0-30.0,SS1688743048533,25984.899999976200,,"<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300;""> That's it! Thank you so much for your participation! </span></p>",39,,,,,,,,
,survey-multi-choice,31,711827,0.0-31.0,SS1688743048533,43898.59999990460,,,,,,,,,,"{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}",0
