"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"","22.594999987632036","sequential-stimulus-presentation-old","58","156155","0.0-17.0-1.0","SS1619739595845","trial","","40","500","522.594999987632","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_01_A_a.gif","self_paced","","4","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_a.gif","","",""
"","null","html-keyboard-response","59","157295","0.0-17.0-0.1","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","437.7749999985099","sequential-stimulus-presentation-old","60","158245","0.0-17.0-1.1","SS1619739595845","trial","","40","500","937.7749999985099","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_01_A_a.gif","self_paced","","4","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_a.gif","","",""
"","null","html-keyboard-response","61","159390","0.0-17.0-0.2","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","838.3749999920838","sequential-stimulus-presentation-old","62","160739","0.0-17.0-1.2","SS1619739595845","trial","","40","500","1338.3749999920838","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_01_A_a.gif","self_paced","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_b.gif","","",""
"","null","html-keyboard-response","63","161560","0.0-17.0-0.3","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1194.2800000251736","sequential-stimulus-presentation-old","64","163268","0.0-17.0-1.3","SS1619739595845","trial","","40","500","1694.2800000251736","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_01_A_a.gif","self_paced","","4","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_a.gif","","",""
"","null","html-keyboard-response","65","164200","0.0-17.0-0.4","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","914.5900000003166","sequential-stimulus-presentation-old","66","165627","0.0-17.0-1.4","SS1619739595845","trial","","40","500","1414.5900000003166","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_01_A_a.gif","self_paced","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_b.gif","","",""
"","2193.77500002156","survey-multi-choice","67","167824","0.0-18.0","SS1619739595845","math_question","","","","","","","","","","","","{""Q0"":""10""}","[0]","10"
"","null","html-keyboard-response","68","168696","0.0-19.0-0.0","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","515.2200000011362","sequential-stimulus-presentation-old","69","169717","0.0-19.0-1.0","SS1619739595845","trial","","40","500","1015.2200000011362","images/stimuli/spore_stims/complex_17_A_b.gif","images/stimuli/spore_stims/complex_14_A_a.gif","self_paced","","5","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","","",""
"","null","html-keyboard-response","70","170987","0.0-19.0-0.1","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","122.52499998430721","sequential-stimulus-presentation-old","71","171620","0.0-19.0-1.1","SS1619739595845","trial","","40","500","622.5249999843072","images/stimuli/spore_stims/complex_17_A_b.gif","images/stimuli/spore_stims/complex_14_A_a.gif","self_paced","","5","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","","",""
"","null","html-keyboard-response","72","172601","0.0-19.0-0.2","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","224.21500002383254","sequential-stimulus-presentation-old","73","173338","0.0-19.0-1.2","SS1619739595845","trial","","40","500","724.2150000238325","images/stimuli/spore_stims/complex_17_A_b.gif","images/stimuli/spore_stims/complex_14_A_a.gif","self_paced","","5","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","",""
"","null","html-keyboard-response","74","174467","0.0-19.0-0.3","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
