subject,question_type,stimulus,rating
SS1613080403796,complexity,images/stimuli/spore_stims/simple_17_B_b.gif,2
SS1613080403796,complexity,images/stimuli/spore_stims/complex_10_A_b.gif,5
SS1613080403796,complexity,images/stimuli/spore_stims/simple_12_B_d.gif,2
SS1613080403796,complexity,images/stimuli/spore_stims/complex_02_A_d.gif,3
SS1613080403796,complexity,images/stimuli/spore_stims/complex_08_A_c.gif,6
SS1613080403796,complexity,images/stimuli/spore_stims/simple_09_B_d.gif,3
SS1613080403796,complexity,images/stimuli/spore_stims/complex_12_A_d.gif,5
SS1613080403796,complexity,images/stimuli/spore_stims/complex_20_A_d.gif,4
SS1613080403796,complexity,images/stimuli/spore_stims/simple_20_B_a.gif,2
SS1613080403796,complexity,images/stimuli/spore_stims/complex_13_B_a.gif,5
SS1613080403796,complexity,images/stimuli/spore_stims/complex_05_B_b.gif,6
SS1613080403796,complexity,images/stimuli/spore_stims/simple_12_B_b.gif,1
SS1613080403796,complexity,images/stimuli/spore_stims/complex_14_B_b.gif,2
SS1613080403796,complexity,images/stimuli/spore_stims/simple_14_B_c.gif,3
SS1613080403796,complexity,images/stimuli/spore_stims/simple_05_A_b.gif,4
SS1613080403796,complexity,images/stimuli/spore_stims/simple_17_B_a.gif,5
SS1613080403796,complexity,images/stimuli/spore_stims/simple_19_A_c.gif,4
SS1613080424634,complexity,images/stimuli/spore_stims/complex_14_A_a.gif,5
SS1613080424634,complexity,images/stimuli/spore_stims/complex_12_B_d.gif,1
SS1613080424634,complexity,images/stimuli/spore_stims/complex_15_B_b.gif,4
