"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"","null","html-keyboard-response","33","183101","0.0-13.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5894","sequential-stimulus-presentation-old","34","189509","0.0-13.0-1.1","SS1626381541612","trial","","40","500","6394","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_a.gif","","","","",""
"","null","html-keyboard-response","35","190692","0.0-13.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8718","sequential-stimulus-presentation-old","36","199919","0.0-13.0-1.2","SS1626381541612","trial","","40","500","9218","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_b.gif","","","","",""
"","null","html-keyboard-response","37","200855","0.0-13.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5571","sequential-stimulus-presentation-old","38","206937","0.0-13.0-1.3","SS1626381541612","trial","","40","500","6071","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_a.gif","","","","",""
"","null","html-keyboard-response","39","208144","0.0-13.0-0.4","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6487","sequential-stimulus-presentation-old","40","215144","0.0-13.0-1.4","SS1626381541612","trial","","40","500","6987","images/stimuli/spore_stims/complex_19_A_b.gif","images/stimuli/spore_stims/complex_13_A_a.gif","forced_short","140","","2","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_b.gif","","","","",""
"","2891","survey-multi-choice","41","218037","0.0-14.0","SS1626381541612","math_question","","","","","","","","","","","","","{""Q0"":""11""}","[0]","11","",""
"","null","html-keyboard-response","42","219256","0.0-15.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1859","sequential-stimulus-presentation-old","43","221801","0.0-15.0-1.0","SS1626381541612","trial","","40","500","2359","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","null","html-keyboard-response","44","222958","0.0-15.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6009","sequential-stimulus-presentation-old","45","229478","0.0-15.0-1.1","SS1626381541612","trial","","40","500","6509","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","null","html-keyboard-response","46","230704","0.0-15.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5382","sequential-stimulus-presentation-old","47","236598","0.0-15.0-1.2","SS1626381541612","trial","","40","500","5882","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","null","html-keyboard-response","48","237845","0.0-15.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3196","sequential-stimulus-presentation-old","49","241555","0.0-15.0-1.3","SS1626381541612","trial","","40","500","3696","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","null","html-keyboard-response","50","242402","0.0-15.0-0.4","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4158","sequential-stimulus-presentation-old","51","247071","0.0-15.0-1.4","SS1626381541612","trial","","40","500","4658","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","null","html-keyboard-response","52","248048","0.0-15.0-0.5","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3218","sequential-stimulus-presentation-old","53","251779","0.0-15.0-1.5","SS1626381541612","trial","","40","500","3718","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif","forced_short","680","","3","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","3376","survey-multi-choice","54","255157","0.0-16.0","SS1626381541612","math_question","","","","","","","","","","","","","{""Q0"":""14""}","[0]","14","",""
"","null","html-keyboard-response","55","256267","0.0-17.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1169","sequential-stimulus-presentation-old","56","257598","0.0-17.0-1.0","SS1626381541612","trial","","40","500","1669","images/stimuli/spore_stims/complex_07_A_a.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","150","","4","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","null","html-keyboard-response","57","258512","0.0-17.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4311","sequential-stimulus-presentation-old","58","263332","0.0-17.0-1.1","SS1626381541612","trial","","40","500","4811","images/stimuli/spore_stims/complex_07_A_a.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","150","","4","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","null","html-keyboard-response","59","264211","0.0-17.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3343","sequential-stimulus-presentation-old","60","268062","0.0-17.0-1.2","SS1626381541612","trial","","40","500","3843","images/stimuli/spore_stims/complex_07_A_a.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","150","","4","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","null","html-keyboard-response","61","269361","0.0-17.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4185","sequential-stimulus-presentation-old","62","274057","0.0-17.0-1.3","SS1626381541612","trial","","40","500","4685","images/stimuli/spore_stims/complex_07_A_a.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","150","","4","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","null","html-keyboard-response","63","275195","0.0-17.0-0.4","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4969","sequential-stimulus-presentation-old","64","280673","0.0-17.0-1.4","SS1626381541612","trial","","40","500","5469","images/stimuli/spore_stims/complex_07_A_a.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","150","","4","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","null","html-keyboard-response","65","281577","0.0-17.0-0.5","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3502","sequential-stimulus-presentation-old","66","285589","0.0-17.0-1.5","SS1626381541612","trial","","40","500","4002","images/stimuli/spore_stims/complex_07_A_a.gif","images/stimuli/spore_stims/complex_09_A_a.gif","forced_short","150","","4","complex_dissimilar","images/stimuli/spore_stims/complex_09_A_a.gif","","","","",""
"","1943","survey-multi-choice","67","287533","0.0-18.0","SS1626381541612","math_question","","","","","","","","","","","","","{""Q0"":""5""}","[0]","5","",""
"","null","html-keyboard-response","68","288749","0.0-19.0-0.0","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","858","sequential-stimulus-presentation-old","69","290008","0.0-19.0-1.0","SS1626381541612","trial","","40","500","1358","images/stimuli/spore_stims/complex_02_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","390","","5","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"","null","html-keyboard-response","70","290873","0.0-19.0-0.1","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4476","sequential-stimulus-presentation-old","71","295860","0.0-19.0-1.1","SS1626381541612","trial","","40","500","4976","images/stimuli/spore_stims/complex_02_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","390","","5","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"","null","html-keyboard-response","72","297031","0.0-19.0-0.2","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4282","sequential-stimulus-presentation-old","73","301824","0.0-19.0-1.2","SS1626381541612","trial","","40","500","4782","images/stimuli/spore_stims/complex_02_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","390","","5","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"","null","html-keyboard-response","74","302830","0.0-19.0-0.3","SS1626381541612","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5310","sequential-stimulus-presentation-old","75","308650","0.0-19.0-1.3","SS1626381541612","trial","","40","500","5810","images/stimuli/spore_stims/complex_02_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","390","","5","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"[{""page_index"":0,""viewing_time"":3280}]","3280","instructions","76","311932","0.0-20.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"","10248","survey-likert","77","322183","0.0-21.0","SS1626381541612","similarity_question","","","","","","","","","","","","","{""Q0"":2}","[0]","","images/stimuli/spore_stims/complex_09_A_a.gif","images/stimuli/spore_stims/complex_07_A_a.gif"
"","6635","survey-likert","78","328822","0.0-22.0","SS1626381541612","similarity_question","","","","","","","","","","","","","{""Q0"":1}","[0]","","images/stimuli/spore_stims/complex_23_A_a.gif","images/stimuli/spore_stims/complex_15_A_b.gif"
"","8984","survey-likert","79","337809","0.0-23.0","SS1626381541612","similarity_question","","","","","","","","","","","","","{""Q0"":0}","[0]","","images/stimuli/spore_stims/complex_13_A_a.gif","images/stimuli/spore_stims/complex_19_A_b.gif"
"","8729","survey-likert","80","346542","0.0-24.0","SS1626381541612","similarity_question","","","","","","","","","","","","","{""Q0"":3}","[0]","","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_10_A_b.gif"
"","4364","survey-likert","81","350910","0.0-25.0","SS1626381541612","similarity_question","","","","","","","","","","","","","{""Q0"":0}","[0]","","images/stimuli/spore_stims/complex_02_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif"
"","6389","survey-likert","82","357302","0.0-26.0","SS1626381541612","similarity_question","","","","","","","","","","","","","{""Q0"":3}","[0]","","images/stimuli/spore_stims/complex_08_A_a.gif","images/stimuli/spore_stims/complex_06_A_b.gif"
"[{""page_index"":0,""viewing_time"":3276}]","3276","instructions","83","360580","0.0-27.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"","9173","survey-likert","84","369757","0.0-28.0","SS1626381541612","","","","","","","","","","images/stimuli/spore_stims/complex_09_A_a.gif","","","","{""Q0"":3}","[0]","","",""
"","6101","survey-likert","85","375861","0.0-29.0","SS1626381541612","","","","","","","","","","images/stimuli/spore_stims/complex_02_A_b.gif","","","","{""Q0"":2}","[0]","","",""
"","4253","survey-likert","86","380117","0.0-30.0","SS1626381541612","","","","","","","","","","images/stimuli/spore_stims/complex_13_A_a.gif","","","","{""Q0"":4}","[0]","","",""
"","5317","survey-likert","87","385437","0.0-31.0","SS1626381541612","","","","","","","","","","images/stimuli/spore_stims/complex_10_A_b.gif","","","","{""Q0"":2}","[0]","","",""
"","3757","survey-likert","88","389197","0.0-32.0","SS1626381541612","","","","","","","","","","images/stimuli/spore_stims/complex_15_A_b.gif","","","","{""Q0"":4}","[0]","","",""
"","8189","survey-likert","89","397389","0.0-33.0","SS1626381541612","","","","","","","","","","images/stimuli/spore_stims/complex_08_A_a.gif","","","","{""Q0"":4}","[0]","","",""
"[{""page_index"":0,""viewing_time"":1486}]","1486","instructions","90","398877","0.0-34.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
"","2444","demog-age","91","401326","0.0-35.0","SS1626381541612","","","","","","","","","","","","","","{""age"":""26""}","","","",""
"","2707","demog-ethnic-US","92","404038","0.0-36.0","SS1626381541612","","","","","","","","","","","","","","{""ethnicity"":[""White""]}","[0]","","",""
"","8244","demog-gender-and-education","93","412285","0.0-37.0","SS1626381541612","","","","","","","","","","","","","","{""gender"":""Female"",""education"":""High school diploma""}","[0,1]","","",""
"","16795","survey-text","94","429086","0.0-38.0","SS1626381541612","feedback","","","","","","","","","","","","","{""Q0"":""No, all good""}","","","",""
"[{""page_index"":0,""viewing_time"":4363}]","4363","instructions","95","433453","0.0-39.0","SS1626381541612","instructions","","","","","","","","","","","","","","","","",""
