subject,rt,response,target,left_violation,right_violation,chosen_violation
SS1678170137878,2277,j,media/stimuli/inanimate_010_left.png,identity,number,number
SS1678170137878,1449,f,media/stimuli/inanimate_001_right.png,pose,animacy,pose
SS1678170137878,1846,f,media/stimuli/animate_012_left.png,identity,animacy,identity
SS1678170137878,1636,f,media/stimuli/inanimate_005_right.png,identity,animacy,identity
SS1678170137878,1701,f,media/stimuli/inanimate_005_left.png,pose,identity,pose
SS1678170137878,1880,f,media/stimuli/inanimate_007_right.png,pose,animacy,pose
SS1678170137878,1024,f,media/stimuli/animate_003_right.png,number,animacy,number
SS1678170137878,1549,f,media/stimuli/animate_006_right.png,pose,identity,pose
SS1678170137878,1146,f,media/stimuli/animate_002_left.png,pose,number,pose
SS1678170137878,1372,f,media/stimuli/animate_006_right.png,pose,number,pose
SS1678170137878,2336,f,media/stimuli/animate_005_right.png,identity,number,identity
SS1678170137878,2048,f,media/stimuli/animate_010_right.png,number,animacy,number
SS1678170137878,3200,j,media/stimuli/animate_008_left.png,number,pose,pose
SS1678170137878,1460,f,media/stimuli/animate_001_right.png,identity,number,identity
SS1678170137878,1841,f,media/stimuli/inanimate_001_right.png,pose,number,pose
SS1678170137878,1145,j,media/stimuli/inanimate_001_right.png,identity,pose,pose
SS1678170137878,1978,f,media/stimuli/inanimate_005_right.png,identity,number,identity
SS1678170137878,3556,j,media/stimuli/animate_010_right.png,identity,pose,pose
SS1678170137878,2814,f,media/stimuli/animate_008_left.png,pose,identity,pose
SS1678170137878,1650,j,media/stimuli/animate_003_left.png,animacy,identity,identity
SS1678170137878,2248,j,media/stimuli/inanimate_006_left.png,identity,number,number
SS1678170137878,1963,f,media/stimuli/inanimate_004_left.png,pose,animacy,pose
SS1678170137878,2022,f,media/stimuli/inanimate_012_right.png,identity,animacy,identity
SS1678170137878,2037,j,media/stimuli/animate_001_left.png,number,pose,pose
SS1678170137878,840,j,media/stimuli/inanimate_005_left.png,identity,pose,pose
SS1678170137878,978,j,media/stimuli/inanimate_002_left.png,identity,pose,pose
SS1678170137878,1249,j,media/stimuli/animate_012_left.png,animacy,identity,identity
SS1678170137878,2077,j,media/stimuli/inanimate_002_left.png,animacy,number,number
SS1678170137878,1512,j,media/stimuli/animate_006_right.png,identity,pose,pose
SS1678170137878,2570,f,media/stimuli/inanimate_005_right.png,identity,animacy,identity
SS1678170137878,1146,j,media/stimuli/animate_011_left.png,animacy,identity,identity
SS1678170137878,1374,f,media/stimuli/inanimate_003_left.png,identity,animacy,identity
SS1678170137878,1189,j,media/stimuli/animate_006_right.png,identity,pose,pose
SS1678170137878,1908,j,media/stimuli/animate_005_right.png,number,identity,identity
SS1678170137878,1645,f,media/stimuli/inanimate_012_right.png,identity,animacy,identity
SS1678170137878,1975,j,media/stimuli/animate_003_left.png,identity,pose,pose
SS1678170137878,2499,f,media/stimuli/animate_006_left.png,number,animacy,number
SS1678170137878,886,f,media/stimuli/inanimate_007_right.png,pose,identity,pose
SS1678170137878,1833,f,media/stimuli/inanimate_006_left.png,identity,number,identity
SS1678170137878,992,f,media/stimuli/inanimate_005_left.png,pose,identity,pose
SS1678170137878,998,j,media/stimuli/animate_012_left.png,number,pose,pose
SS1678170137878,1921,j,media/stimuli/inanimate_001_right.png,animacy,number,number
SS1678170137878,1165,j,media/stimuli/animate_012_right.png,identity,pose,pose
SS1678170137878,2048,j,media/stimuli/inanimate_004_left.png,pose,animacy,animacy
SS1678170137878,2163,f,media/stimuli/animate_008_left.png,animacy,number,animacy
SS1678170137878,2595,j,media/stimuli/animate_005_left.png,animacy,pose,pose
SS1678170137878,2127,j,media/stimuli/animate_007_left.png,animacy,identity,identity
SS1678170137878,3556,j,media/stimuli/animate_004_right.png,number,pose,pose
SS1678170137878,1159,f,media/stimuli/inanimate_002_right.png,pose,number,pose
SS1678170137878,1648,f,media/stimuli/inanimate_004_right.png,identity,number,identity
SS1678170137878,1553,j,media/stimuli/inanimate_010_left.png,number,identity,identity
SS1678170137878,1637,j,media/stimuli/inanimate_009_left.png,number,pose,pose
SS1678170137878,1283,f,media/stimuli/animate_006_right.png,identity,animacy,identity
SS1678170137878,2065,j,media/stimuli/animate_007_left.png,animacy,number,number
SS1678170137878,2543,j,media/stimuli/inanimate_004_left.png,animacy,identity,identity
SS1678170137878,1010,f,media/stimuli/inanimate_003_left.png,pose,number,pose
SS1678170137878,1424,f,media/stimuli/inanimate_007_left.png,pose,number,pose
SS1678170137878,2102,j,media/stimuli/animate_010_right.png,animacy,identity,identity
SS1678170137878,1013,f,media/stimuli/animate_010_right.png,pose,number,pose
SS1678170137878,2157,j,media/stimuli/inanimate_001_right.png,animacy,number,number
SS1678170137878,1297,f,media/stimuli/animate_003_left.png,pose,number,pose
SS1678170137878,1216,f,media/stimuli/inanimate_010_right.png,pose,animacy,pose
SS1678170137878,2469,f,media/stimuli/inanimate_007_left.png,number,animacy,number
SS1678170137878,3049,f,media/stimuli/inanimate_010_left.png,identity,number,identity
SS1678170137878,1427,f,media/stimuli/inanimate_012_right.png,identity,number,identity
SS1678170137878,1359,f,media/stimuli/inanimate_001_left.png,identity,animacy,identity
SS1678170137878,1104,j,media/stimuli/animate_007_left.png,animacy,pose,pose
SS1678170137878,857,f,media/stimuli/animate_004_left.png,pose,animacy,pose
SS1678170137878,2038,f,media/stimuli/inanimate_004_left.png,number,animacy,number
SS1678170137878,1492,f,media/stimuli/inanimate_008_left.png,identity,animacy,identity
SS1678170137878,861,j,media/stimuli/inanimate_011_left.png,number,pose,pose
SS1678170137878,1280,j,media/stimuli/animate_009_right.png,animacy,number,number
SS1678170137878,1040,j,media/stimuli/inanimate_010_right.png,number,pose,pose
SS1678170137878,2692,j,media/stimuli/animate_006_left.png,animacy,number,number
SS1678170137878,1620,f,media/stimuli/inanimate_009_right.png,pose,animacy,pose
SS1678170137878,838,j,media/stimuli/animate_011_right.png,number,pose,pose
SS1678170137878,809,j,media/stimuli/animate_012_right.png,identity,pose,pose
SS1678170137878,1143,j,media/stimuli/animate_003_left.png,identity,pose,pose
SS1678170137878,1044,f,media/stimuli/animate_004_right.png,pose,identity,pose
SS1678170137878,1121,f,media/stimuli/inanimate_005_right.png,pose,number,pose
SS1678170137878,1279,j,media/stimuli/inanimate_009_right.png,identity,pose,pose
SS1678170137878,829,j,media/stimuli/inanimate_006_right.png,number,pose,pose
SS1678170137878,1562,f,media/stimuli/animate_005_right.png,number,animacy,number
SS1678170137878,746,j,media/stimuli/animate_012_left.png,animacy,pose,pose
SS1678170137878,1010,f,media/stimuli/animate_006_right.png,identity,animacy,identity
SS1678170137878,1342,j,media/stimuli/animate_005_left.png,animacy,pose,pose
SS1678170137878,2034,j,media/stimuli/inanimate_006_right.png,animacy,pose,pose
SS1678170137878,1046,j,media/stimuli/inanimate_007_left.png,identity,number,number
SS1678170137878,2513,j,media/stimuli/inanimate_001_right.png,number,identity,identity
SS1678170137878,837,j,media/stimuli/animate_004_left.png,animacy,pose,pose
SS1678170137878,2018,f,media/stimuli/animate_011_left.png,identity,animacy,identity
SS1678170137878,913,j,media/stimuli/inanimate_004_right.png,number,pose,pose
SS1678170138750,2689,f,media/stimuli/animate_002_left.png,pose,animacy,pose
SS1678170138750,1778,f,media/stimuli/animate_012_left.png,pose,identity,pose
SS1678170138750,1515,j,media/stimuli/inanimate_012_left.png,number,pose,pose
SS1678170138750,1132,j,media/stimuli/animate_007_right.png,animacy,pose,pose
SS1678170138750,1153,f,media/stimuli/animate_004_left.png,pose,identity,pose
SS1678170138750,1501,f,media/stimuli/animate_003_left.png,number,animacy,number
SS1678170138750,1155,f,media/stimuli/inanimate_001_right.png,number,identity,number
SS1678170138750,850,f,media/stimuli/animate_008_left.png,number,animacy,number
SS1678170138750,2389,j,media/stimuli/animate_010_left.png,animacy,identity,identity
SS1678170138750,1363,f,media/stimuli/inanimate_004_right.png,pose,number,pose
SS1678170138750,918,f,media/stimuli/animate_006_right.png,number,animacy,number
SS1678170138750,1562,j,NA,NA,NA,NA
SS1678170138750,2158,j,media/stimuli/inanimate_007_right.png,identity,number,number
SS1678170138750,1076,j,media/stimuli/inanimate_007_right.png,animacy,pose,pose
SS1678170138750,655,j,media/stimuli/inanimate_006_left.png,identity,pose,pose
SS1678170138750,610,j,media/stimuli/inanimate_009_left.png,identity,pose,pose
SS1678170138750,1154,j,media/stimuli/animate_001_right.png,animacy,pose,pose
SS1678170138750,825,f,media/stimuli/animate_010_right.png,pose,animacy,pose
SS1678170138750,766,f,media/stimuli/inanimate_002_right.png,number,animacy,number
SS1678170138750,1996,f,media/stimuli/inanimate_009_left.png,number,pose,number
SS1678170138750,1502,j,media/stimuli/animate_009_right.png,animacy,identity,identity
SS1678170138750,1004,j,media/stimuli/animate_008_right.png,identity,number,number
SS1678170138750,939,j,media/stimuli/animate_005_right.png,animacy,identity,identity
SS1678170138750,833,f,media/stimuli/inanimate_009_left.png,pose,animacy,pose
SS1678170138750,1386,k,NA,NA,NA,NA
SS1678170138750,3877,f,media/stimuli/animate_007_right.png,identity,pose,identity
SS1678170138750,1230,j,media/stimuli/animate_008_right.png,identity,number,number
SS1678170138750,1504,j,media/stimuli/animate_007_left.png,pose,number,number
SS1678170138750,884,f,media/stimuli/inanimate_002_left.png,pose,identity,pose
SS1678170138750,808,j,media/stimuli/animate_003_right.png,animacy,pose,pose
SS1678170138750,1018,j,media/stimuli/inanimate_003_right.png,identity,number,number
SS1678170138750,1620,j,media/stimuli/animate_002_right.png,animacy,identity,identity
SS1678170138750,1010,f,media/stimuli/animate_012_left.png,pose,animacy,pose
SS1678170138750,791,j,media/stimuli/inanimate_003_right.png,identity,number,number
SS1678170138750,1604,f,media/stimuli/inanimate_003_left.png,identity,pose,identity
SS1678170138750,1651,f,media/stimuli/animate_011_right.png,number,pose,number
SS1678170138750,1255,f,media/stimuli/animate_011_right.png,number,identity,number
SS1678170138750,1209,k,NA,NA,NA,NA
SS1678170138750,1656,j,media/stimuli/animate_011_right.png,pose,identity,identity
SS1678170138750,865,j,media/stimuli/inanimate_008_left.png,identity,number,number
SS1678170138750,1968,j,media/stimuli/inanimate_010_left.png,pose,number,number
SS1678170138750,1039,f,media/stimuli/animate_004_left.png,identity,animacy,identity
SS1678170138750,1273,f,media/stimuli/animate_008_right.png,identity,animacy,identity
SS1678170138750,980,f,media/stimuli/animate_010_left.png,identity,animacy,identity
SS1678170138750,1246,f,media/stimuli/animate_012_left.png,identity,pose,identity
SS1678170138750,3455,f,media/stimuli/inanimate_011_right.png,identity,pose,identity
SS1678170138750,904,j,media/stimuli/inanimate_001_right.png,identity,pose,pose
SS1678170138750,1351,j,media/stimuli/inanimate_007_right.png,animacy,number,number
SS1678170138750,884,f,media/stimuli/animate_012_left.png,number,animacy,number
SS1678170138750,1171,f,media/stimuli/animate_001_left.png,number,pose,number
SS1678170138750,50348,j,NA,NA,NA,NA
SS1678170138750,2746,j,NA,NA,NA,NA
SS1678170138750,2079,f,media/stimuli/animate_005_right.png,number,pose,number
SS1678170138750,1300,f,media/stimuli/inanimate_011_right.png,identity,animacy,identity
SS1678170138750,2959,j,media/stimuli/animate_010_right.png,identity,pose,pose
SS1678170138750,1508,j,media/stimuli/inanimate_008_left.png,identity,pose,pose
SS1678170138750,1340,j,media/stimuli/inanimate_009_left.png,pose,identity,identity
SS1678170138750,1617,j,media/stimuli/inanimate_002_right.png,animacy,pose,pose
SS1678170138750,803,f,media/stimuli/inanimate_009_left.png,pose,animacy,pose
SS1678170138750,1038,f,media/stimuli/inanimate_007_right.png,pose,animacy,pose
SS1678170138750,1111,j,media/stimuli/animate_003_left.png,pose,number,number
SS1678170138750,950,j,media/stimuli/inanimate_007_right.png,animacy,pose,pose
SS1678170138750,693,j,media/stimuli/inanimate_005_left.png,animacy,number,number
SS1678170138750,1480,f,media/stimuli/animate_012_left.png,number,pose,number
SS1678170138750,1010,k,NA,NA,NA,NA
SS1678170138750,1086,f,media/stimuli/animate_007_right.png,number,identity,number
SS1678170138750,839,j,media/stimuli/inanimate_008_left.png,animacy,number,number
SS1678170138750,1137,j,media/stimuli/animate_004_left.png,animacy,identity,identity
SS1678170138750,765,j,media/stimuli/inanimate_005_left.png,animacy,number,number
SS1678170138750,962,j,media/stimuli/inanimate_009_right.png,animacy,identity,identity
